Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-67	2020-02-28	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
-66	2020-02-29	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0		
-65	2020-03-01	1	0	1	0	0	0	0.125	0.0	0.125	0.0	0.0	0.0		
-64	2020-03-02	1	0	0	0	0	0	0.125	0.0	0.0	0.0	0.0	0.0		
-63	2020-03-03	2	0	1	0	0	0	0.251	0.0	0.125	0.0	0.0	0.0		
-62	2020-03-04	7	0	5	0	0	0	0.877	0.0	0.626	0.0	0.0	0.0		
-61	2020-03-05	18	0	11	0	0	0	2.255	0.0	1.378	0.0	0.0	0.0		
-60	2020-03-06	18	0	0	0	18	0	2.255	0.0	0.0	0.0	2.255	0.0		
-59	2020-03-07	19	0	1	0	19	0	2.38	0.0	0.125	0.0	2.38	0.0		
-58	2020-03-08	21	0	2	0	20	0	2.631	0.0	0.251	0.0	2.506	0.0		
-57	2020-03-09	38	0	17	0	37	0	4.76	0.0	2.13	0.0	4.635	0.0		
-56	2020-03-10	49	0	11	0	47	0	6.139	0.0	1.378	0.0	5.888	0.0		
-55	2020-03-11	75	0	26	0	68	0	9.396	0.0	3.257	0.0	8.519	0.0		
-54	2020-03-12	129	0	54	0	111	0	16.161	0.0	6.765	0.0	13.906	0.0		
-53	2020-03-13	230	0	101	0	212	0	28.813	0.0	12.653	0.0	26.558	0.0		
-52	2020-03-14	253	0	23	0	234	0	31.695	0.0	2.881	0.0	29.314	0.0		
-51	2020-03-15	287	0	34	0	266	0	35.954	0.0	4.259	0.0	33.323	0.0		
-50	2020-03-16	391	0	104	0	353	0	48.983	0.0	13.029	0.0	44.222	0.0		
-49	2020-03-17	325	0		0	276	0	40.715	0.0		0.0	34.576	0.0		
-48	2020-03-18	478	0	153	0	403	0	59.882	0.0	19.167	0.0	50.486	0.0		
-47	2020-03-19	669	0	191	0	540	0	83.809	0.0	23.928	0.0	67.649	0.0		
-46	2020-03-20	803	0	134	0	573	0	100.596	0.0	16.787	0.0	71.783	0.0		
-45	2020-03-21	1023	0	220	0	770	0	128.157	0.0	27.561	0.0	96.462	0.0		
-44	2020-03-22	1306	1	283	1	1019	1	163.61	0.125	35.453	0.125	127.656	0.125		
-43	2020-03-23	1483	4	177	3	1092	4	185.784	0.501	22.174	0.376	136.801	0.501		
-42	2020-03-24	1764	6	281	2	1439	6	220.986	0.752	35.202	0.251	180.272	0.752		
-41	2020-03-25	2140	7	376	1	1662	7	268.09	0.877	47.104	0.125	208.208	0.877		
-40	2020-03-26	2347	8	207	1	1678	8	294.022	1.002	25.932	0.125	210.212	1.002		
-39	2020-03-27	2810	10	463	2	2007	10	352.024	1.253	58.003	0.251	251.428	1.253		
-38	2020-03-28	3150	12	340	2	2127	12	394.618	1.503	42.594	0.251	266.461	1.503		
-37	2020-03-29	3450	21	300	9	2144	20	432.201	2.631	37.583	1.127	268.591	2.506		
-36	2020-03-30	3732	26	282	5	2249	22	467.529	3.257	35.328	0.626	281.745	2.756		
-35	2020-03-31	4063	34	331	8	2299	28	508.995	4.259	41.466	1.002	288.009	3.508		
-34	2020-04-01	4382	42	319	8	2242	35	548.958	5.262	39.963	1.002	280.868	4.385		
-33	2020-04-02	4695	45	313	3	2348	37	588.169	5.637	39.211	0.376	294.147	4.635		
-32	2020-04-03	5081	65	386	20	2271	55	636.525	8.143	48.356	2.506	284.501	6.89		
-31	2020-04-04	5571	85	490	20	2421	73	697.91	10.648	61.385	2.506	303.292	9.145		
-30	2020-04-05	5712	89	141	4	2262	68	715.574	11.15	17.664	0.501	283.373	8.519		
-29	2020-04-06	5960	92	248	3	2228	66	746.643	11.525	31.068	0.376	279.114	8.268		
-28	2020-04-07	6200	111	240	19	2137	77	776.709	13.906	30.066	2.38	267.714	9.646		
-27	2020-04-08	6385	121	185	10	2003	79	799.885	15.158	23.176	1.253	250.927	9.897	14.5	5.3
-26	2020-04-09	6804	141	419	20	2109	96	852.375	17.664	52.49	2.506	264.206	12.026	15.9	6.0
-25	2020-04-10	7114	161	310	20	2033	96	891.211	20.169	38.835	2.506	254.685	12.026	16.6	5.9
-24	2020-04-11	7343	171	229	10	1772	86	919.899	21.422	28.688	1.253	221.988	10.774	16.1	5.9
-23	2020-04-12	7602	189	259	18	1890	100	952.345	23.677	32.446	2.255	236.771	12.528	16.6	6.1
-22	2020-04-13	7723	201	121	12	1763	109	967.504	25.18	15.158	1.503	220.861	13.655	18.2	7.0
-21	2020-04-14	7885	211	162	10	1685	100	987.798	26.433	20.295	1.253	211.089	12.528	20.9	8.1
-20	2020-04-15	8019	224	134	13	1634	103	1004.585	28.062	16.787	1.629	204.7	12.903	26.3	9.6
-19	2020-04-16	8188	248	169	24	1384	107	1025.757	31.068	21.172	3.007	173.381	13.404	30.9	10.0
-18	2020-04-17	8442	274	254	26	1328	113	1057.577	34.326	31.82	3.257	166.366	14.156	32.1	9.2
-17	2020-04-18	8649	281	207	7	1306	110	1083.509	35.202	25.932	0.877	163.61	13.78	32.0	9.8
-16	2020-04-19	8797	288	148	7	1195	99	1102.05	36.079	18.541	0.877	149.704	12.402	30.9	10.7
-15	2020-04-20	8900	291	103	3	1177	90	1114.953	36.455	12.903	0.376	147.449	11.275	32.3	12.9
-14	2020-04-21	9098	306	198	15	1213	95	1139.757	38.334	24.805	1.879	151.959	11.901	33.3	15.7
-13	2020-04-22	9236	328	138	22	1217	104	1157.046	41.09	17.288	2.756	152.46	13.029	36.2	17.8
-12	2020-04-23	9391	340	155	12	1203	92	1176.463	42.594	19.418	1.503	150.707	11.525	40.1	18.6
-11	2020-04-24	9544	364	153	24	1102	90	1195.63	45.6	19.167	3.007	138.054	11.275	41.9	15.4
-10	2020-04-25	9691	377	147	13	1042	96	1214.046	47.229	18.416	1.629	130.537	12.026	42.1	14.1
-9	2020-04-26	9785	384	94	7	988	96	1225.822	48.106	11.776	0.877	123.772	12.026	44.0	14.6
-8	2020-04-27	9847	391	62	7	947	100	1233.589	48.983	7.767	0.877	118.636	12.528	50.8	17.3
-7	2020-04-28	9926	394	79	3	828	88	1243.486	49.359	9.897	0.376	103.728	11.024	58.2	22.7
-6	2020-04-29	9972	406	46	12	736	78	1249.248	50.862	5.763	1.503	92.203	9.771	71.2	27.4
-5	2020-04-30	10067	416	95	10	676	76	1261.15	52.115	11.901	1.253	84.686	9.521	84.1	33.8
-4	2020-05-01	10141	429	74	13	597	65	1270.42	53.743	9.27	1.629	74.79	8.143	94.4	32.8
-3	2020-05-02	10246	451	105	22	555	74	1283.574	56.499	13.154	2.756	69.528	9.27	91.8	26.4
-2	2020-05-03	10283	453	37	2	498	69	1288.209	56.75	4.635	0.251	62.387	8.644	92.3	25.1
-1	2020-05-04	10325	456	42	3	478	65	1293.471	57.126	5.262	0.376	59.882	8.143	98.6	26.6
0	2020-05-05	10380	463	55	7	454	69	1300.361	58.003	6.89	0.877	56.875	8.644		31.3
