State	Code	Population	Pop Density	Date_Latest	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million
Brandenburg	BB	2511900	84.0	2020-06-23	3407	164	13	1	1356	65
Berlin	BE	3644800	4055.0	2020-06-23	7916	211	83	0	2172	58
Baden-Württemberg	BW	11069500	308.0	2020-06-23	35365	1826	93	2	3195	165
Bayern	BY	13076700	184.0	2020-06-23	47894	2571	27	4	3663	197
Bremen	HB	683000	1624.0	2020-06-23	1654	49	6	0	2422	72
Hessen	HE	6265800	296.0	2020-06-23	10613	501	35	0	1694	80
Hamburg	HH	1841200	2424.0	2020-06-23	5170	259	0	0	2808	141
Mecklenburg-Vorpommern	MV	1609700	69.0	2020-06-23	792	20	0	0	492	12
Niedersachsen	NI	7982400	167.0	2020-06-23	13312	619	29	1	1668	78
Nordrhein-Westfalen	NW	17932700	525.0	2020-06-23	41418	1665	200	2	2310	93
Rheinland-Pfalz	RP	4084800	205.0	2020-06-23	6919	234	2	0	1694	57
Schleswig-Holstein	SH	2896700	183.0	2020-06-23	3136	152	0	0	1083	52
Saarland	SL	990500	387.0	2020-06-23	2778	168	0	0	2805	170
Sachsen	SN	4077900	221.0	2020-06-23	5408	221	0	0	1326	54
Sachsen-Anhalt	ST	2208300	109.0	2020-06-23	1851	57	7	0	838	26
Thüringen	TH	2143100	133.0	2020-06-23	3229	178	8	0	1507	83
# Deutschland	DE-total	83019200	232.0	2020-06-23	190862	8895	503	10	2299	107
