Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-148	2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-147	2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-146	2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-145	2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-144	2020-02-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-143	2020-02-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-142	2020-02-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-141	2020-02-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-140	2020-02-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-139	2020-02-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-138	2020-02-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-137	2020-02-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-136	2020-02-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-135	2020-02-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-134	2020-02-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-133	2020-02-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-132	2020-02-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-131	2020-02-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-130	2020-02-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-129	2020-02-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-128	2020-02-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-127	2020-02-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-126	2020-02-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-125	2020-02-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-124	2020-02-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-123	2020-02-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-122	2020-02-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-121	2020-02-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-120	2020-02-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-119	2020-02-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-118	2020-02-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-117	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-116	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-115	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-114	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-113	2020-03-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-112	2020-03-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-111	2020-03-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-110	2020-03-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-109	2020-03-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-108	2020-03-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0
-107	2020-03-09	3	0	3	0	3	0	21	0	21	0.0	21	0.0
-106	2020-03-10	3	0	0	0	3	0	21	0	0	0.0	21	0.0
-105	2020-03-11	7	0	4	0	7	0	50	0	29	0.0	50	0.0
-104	2020-03-12	7	0	0	0	7	0	50	0	0	0.0	50	0.0
-103	2020-03-13	10	0	3	0	10	0	72	0	21	0.0	72	0.0
-102	2020-03-14	10	0	0	0	10	0	72	0	0	0.0	72	0.0
-101	2020-03-15	16	0	6	0	16	0	116	0	43	0.0	116	0.0
-100	2020-03-16	17	0	1	0	14	0	123	0	7	0.0	101	0.0
-99	2020-03-17	24	0	7	0	21	0	174	0	50	0.0	152	0.0
-98	2020-03-18	35	0	11	0	28	0	254	0	79	0.0	203	0.0
-97	2020-03-19	53	0	18	0	46	0	385	0	130	0.0	334	0.0
-96	2020-03-20	67	0	14	0	57	0	486	0	101	0.0	414	0.0
-95	2020-03-21	85	1	18	1	75	1	617	7	130	7.264	544	7.26
-94	2020-03-22	111	1	26	0	95	1	806	7	188	0.0	690	7.26
-93	2020-03-23	124	1	13	0	107	1	900	7	94	0.0	777	7.26
-92	2020-03-24	140	1	16	0	116	1	1016	7	116	0.0	842	7.26
-91	2020-03-25	182	2	42	1	147	2	1322	14	305	7.264	1067	14.53
-90	2020-03-26	219	3	37	1	166	3	1590	21	268	7.264	1205	21.79
-89	2020-03-27	256	3	37	0	189	3	1859	21	268	0.0	1372	21.79
-88	2020-03-28	266	3	10	0	181	2	1932	21	72	0.0	1314	14.53
-87	2020-03-29	296	4	30	1	185	3	2150	29	217	7.264	1343	21.79
-86	2020-03-30	312	6	16	2	188	5	2266	43	116	14.529	1365	36.32
-85	2020-03-31	323	6	11	0	183	5	2346	43	79	0.0	1329	36.32
-84	2020-04-01	350	6	27	0	168	4	2542	43	196	0.0	1220	29.06
-83	2020-04-02	380	7	30	1	161	4	2760	50	217	7.264	1169	29.06
-82	2020-04-03	399	7	19	0	143	4	2898	50	138	0.0	1038	29.06
