Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	DIVI_Intensivstationen_Covid_Prozent	DIVI_Intensivstationen_Betten_belegt_Prozent
-159	2020-01-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-158	2020-01-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-157	2020-01-30	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-156	2020-01-31	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-155	2020-02-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-154	2020-02-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-153	2020-02-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-152	2020-02-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-151	2020-02-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-150	2020-02-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-149	2020-02-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-148	2020-02-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-147	2020-02-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-146	2020-02-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-145	2020-02-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-144	2020-02-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-143	2020-02-13	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-142	2020-02-14	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-141	2020-02-15	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-140	2020-02-16	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-139	2020-02-17	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-138	2020-02-18	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-137	2020-02-19	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-136	2020-02-20	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-135	2020-02-21	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-134	2020-02-22	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-133	2020-02-23	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-132	2020-02-24	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-131	2020-02-25	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-130	2020-02-26	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-129	2020-02-27	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-128	2020-02-28	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-127	2020-02-29	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-126	2020-03-01	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-125	2020-03-02	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-124	2020-03-03	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-123	2020-03-04	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-122	2020-03-05	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-121	2020-03-06	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-120	2020-03-07	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-119	2020-03-08	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-118	2020-03-09	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-117	2020-03-10	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-116	2020-03-11	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-115	2020-03-12	0	0	0	0	0	0	0	0	0	0.0	0	0.0		
-114	2020-03-13	1	0	1	0	1	0	10	0	10	0.0	10	0.0		
-113	2020-03-14	1	0	0	0	1	0	10	0	0	0.0	10	0.0		
-112	2020-03-15	1	0	0	0	1	0	10	0	0	0.0	10	0.0		
-111	2020-03-16	1	0	0	0	1	0	10	0	0	0.0	10	0.0		
-110	2020-03-17	2	0	1	0	2	0	21	0	10	0.0	21	0.0		
-109	2020-03-18	7	0	5	0	7	0	74	0	52	0.0	74	0.0		
-108	2020-03-19	10	0	3	0	10	0	105	0	31	0.0	105	0.0		
-107	2020-03-20	10	0	0	0	9	0	105	0	0	0.0	95	0.0		
-106	2020-03-21	26	0	16	0	25	0	275	0	169	0.0	264	0.0		
-105	2020-03-22	30	0	4	0	29	0	317	0	42	0.0	307	0.0		
-104	2020-03-23	33	1	3	1	32	1	349	10	31	10.599	339	10.6		
-103	2020-03-24	57	3	24	2	55	3	604	31	254	21.197	582	31.8		
-102	2020-03-25	72	5	15	2	65	5	763	52	158	21.197	688	52.99		
-101	2020-03-26	99	9	27	4	89	9	1049	95	286	42.394	943	95.39		
-100	2020-03-27	127	11	28	2	117	11	1346	116	296	21.197	1240	116.58		
-99	2020-03-28	183	17	56	6	157	17	1939	180	593	63.592	1663	180.18		
-98	2020-03-29	188	18	5	1	158	18	1992	190	52	10.599	1674	190.77		
-97	2020-03-30	220	23	32	5	187	22	2331	243	339	52.993	1981	233.17		
-96	2020-03-31	254	27	34	4	197	24	2692	286	360	42.394	2087	254.37		
-95	2020-04-01	303	33	49	6	231	28	3211	349	519	63.592	2448	296.76		
-94	2020-04-02	345	35	42	2	246	26	3656	370	445	21.197	2607	275.56		
-93	2020-04-03	377	36	32	1	250	25	3995	381	339	10.599	2649	264.97		
-92	2020-04-04	409	37	32	1	226	20	4334	392	339	10.599	2395	211.97		
-91	2020-04-05	422	37	13	0	234	19	4472	392	137	0.0	2480	201.37		
-90	2020-04-06	434	37	12	0	214	14	4599	392	127	0.0	2268	148.38		
-89	2020-04-07	482	38	48	1	228	11	5108	402	508	10.599	2416	116.58		
-88	2020-04-08	529	40	47	2	226	7	5606	423	498	21.197	2395	74.19		
-87	2020-04-09	549	41	20	1	204	6	5818	434	211	10.599	2162	63.59		
-86	2020-04-10	558	42	9	1	181	6	5914	445	95	10.599	1918	63.59		
-85	2020-04-11	572	44	14	2	163	7	6062	466	148	21.197	1727	74.19		
-84	2020-04-12	579	46	7	2	157	9	6136	487	74	21.197	1663	95.39		
-83	2020-04-13	587	46	8	0	153	9	6221	487	84	0.0	1621	95.39		
-82	2020-04-14	600	48	13	2	118	10	6359	508	137	21.197	1250	105.99		
-81	2020-04-15	621	49	21	1	92	9	6581	519	222	10.599	975	95.39		
-80	2020-04-16	634	50	13	1	85	9	6719	529	137	10.599	900	95.39		
