Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Last_Week	Deaths_Last_Week	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time
-132	2020-01-28	2	0	2	0	0	0	7.673	0.0	7.673	0.0	0.0	0.0		
-131	2020-01-29	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-130	2020-01-30	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-129	2020-01-31	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-128	2020-02-01	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-127	2020-02-02	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-126	2020-02-03	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-125	2020-02-04	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-124	2020-02-05	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-123	2020-02-06	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-122	2020-02-07	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-121	2020-02-08	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-120	2020-02-09	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-119	2020-02-10	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-118	2020-02-11	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-117	2020-02-12	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-116	2020-02-13	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-115	2020-02-14	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-114	2020-02-15	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-113	2020-02-16	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-112	2020-02-17	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-111	2020-02-18	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-110	2020-02-19	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-109	2020-02-20	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-108	2020-02-21	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-107	2020-02-22	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-106	2020-02-23	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-105	2020-02-24	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-104	2020-02-25	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-103	2020-02-26	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-102	2020-02-27	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-101	2020-02-28	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-100	2020-02-29	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-99	2020-03-01	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-98	2020-03-02	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-97	2020-03-03	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-96	2020-03-04	2	0	0	0	0	0	7.673	0.0	0.0	0.0	0.0	0.0		
-95	2020-03-05	4	0	2	0	2	0	15.346	0.0	7.673	0.0	7.673	0.0		
