Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	2459	1531	62.3		
2020-04-23	2618	1669	63.8		
2020-04-24	2620	1676	64.0	213	8.1
2020-04-25	2620	1674	63.9	213	8.1
2020-04-26	2592	1671	64.5		
2020-04-27	2583	1667	64.5	209	8.1
2020-04-28	2578	1657	64.3	208	8.1
2020-04-29	2611	1658	63.5	206	7.9
2020-04-30	2612	1657	63.4	200	7.7
2020-05-01	2579	1684	65.3	189	7.3
2020-05-02	2565	1671	65.1	189	7.4
2020-05-03	2539	1602	63.1	176	6.9
2020-05-04	2572	1630	63.4	182	7.1
2020-05-05	2599	1669	64.2	176	6.8
2020-05-06	2609	1649	63.2	177	6.8
2020-05-07	2606	1681	64.5	167	6.4
2020-05-08	2566	1698	66.2	149	5.8
2020-05-09	2508	1701	67.8	133	5.3
2020-05-10	2505	1696	67.7	135	5.4
2020-05-11	2485	1672	67.3	132	5.3
2020-05-12	2510	1676	66.8	130	5.2
2020-05-13	2552	1743	68.3	118	4.6
2020-05-14	2526	1706	67.5	113	4.5
2020-05-15	2505	1691	67.5	110	4.4
2020-05-16	2540	1740	68.5	105	4.1
2020-05-17	2541	1707	67.2	102	4.0
2020-05-18	2504	1642	65.6	102	4.1
2020-05-19	2502	1660	66.3	104	4.2
2020-05-20	2497	1715	68.7	94	3.8
2020-05-21	2497	1707	68.4	94	3.8
2020-05-22	2489	1728	69.4	93	3.7
2020-05-23	2496	1689	67.7	91	3.6
2020-05-24	2466	1633	66.2	89	3.6
2020-05-25	2471	1619	65.5	88	3.6
2020-05-26	2509	1667	66.4	83	3.3
2020-05-27	2520	1719	68.2	71	2.8
2020-05-28	2525	1727	68.4	69	2.7
2020-05-29	2534	1757	69.3	69	2.7
2020-05-30	2523	1723	68.3	62	2.5
2020-05-31	2459	1698	69.1	61	2.5
2020-06-01	2445	1627	66.5	62	2.5
2020-06-02	2471	1626	65.8	61	2.5
2020-06-03	2484	1645	66.2	60	2.4
2020-06-04	2515	1743	69.3	49	1.9
2020-06-05	2522	1761	69.8	43	1.7
2020-06-06	2510	1752	69.8	45	1.8
2020-06-07	2482	1721	69.3	42	1.7
2020-06-08	2471	1701	68.8	45	1.8
2020-06-09	2529	1758	69.5	45	1.8
2020-06-11	2547	1804	70.8	39	1.5
2020-06-12	2547	1804	70.8	39	1.5
2020-06-13	2486	1702	68.5	36	1.4
2020-06-14	2482	1669	67.2	33	1.3
2020-06-15	2485	1645	66.2	31	1.2
2020-06-16	2481	1653	66.6	31	1.2
2020-06-17	2483	1705	68.7	31	1.2
2020-06-18	2483	1717	69.2	31	1.2
2020-06-19	2504	1721	68.7	32	1.3
2020-06-20	2499	1697	67.9	28	1.1
2020-06-21	2509	1716	68.4	27	1.1
2020-06-22	2475	1654	66.8	26	1.1
2020-06-23	2528	1694	67.0	27	1.1
2020-06-24	2538	1744	68.7	25	1.0
2020-06-25	2531	1743	68.9	28	1.1
2020-06-26	2513	1751	69.7	28	1.1
2020-06-27	2464	1740	70.6	28	1.1
2020-06-28	2465	1723	69.9	28	1.1
2020-06-29	2431	1643	67.6	26	1.1
2020-06-30	2487	1680	67.6	26	1.0
2020-07-01	2507	1728	68.9	25	1.0
