Date	Int Betten gesamt	Int Betten belegt	Prozent Int Betten belegt	Int COVID-19 Patienten	Prozent Int COVID-19 Patienten
2020-04-22	550	268	48.7		
2020-04-23	647	313	48.4		
2020-04-24	655	316	48.2	60	9.2
2020-04-25	655	316	48.2	60	9.2
2020-04-26	647	306	47.3		
2020-04-27	648	318	49.1	46	7.1
2020-04-28	681	335	49.2	48	7.0
2020-04-29	729	360	49.4	49	6.7
2020-04-30	677	354	52.3	44	6.5
2020-05-01	676	360	53.3	41	6.1
2020-05-02	667	355	53.2	34	5.1
2020-05-03	690	345	50.0	34	4.9
2020-05-04	674	337	50.0	36	5.3
2020-05-05	654	362	55.4	21	3.2
2020-05-06	691	395	57.2	34	4.9
2020-05-07	681	396	58.1	34	5.0
2020-05-08	680	382	56.2	24	3.5
2020-05-09	725	447	61.7	23	3.2
2020-05-10	753	471	62.5	23	3.1
2020-05-11	648	362	55.9	24	3.7
2020-05-12	599	335	55.9	26	4.3
2020-05-13	639	367	57.4	26	4.1
2020-05-14	636	360	56.6	33	5.2
2020-05-15	673	373	55.4	22	3.3
2020-05-16	644	381	59.2	20	3.1
2020-05-17	644	376	58.4	17	2.6
2020-05-18	637	356	55.9	13	2.0
2020-05-19	653	374	57.3	18	2.8
2020-05-20	653	378	57.9	14	2.1
2020-05-21	653	395	60.5	14	2.1
2020-05-22	656	396	60.4	15	2.3
2020-05-23	650	371	57.1	12	1.8
2020-05-24	650	349	53.7	12	1.8
2020-05-25	648	344	53.1	13	2.0
2020-05-26	653	348	53.3	13	2.0
2020-05-27	660	379	57.4	7	1.1
2020-05-28	660	377	57.1	6	0.9
2020-05-29	656	377	57.5	7	1.1
2020-05-30	655	377	57.6	6	0.9
2020-05-31	653	379	58.0	6	0.9
2020-06-01	650	365	56.2	9	1.4
2020-06-02	663	371	56.0	9	1.4
2020-06-03	664	374	56.3	10	1.5
2020-06-04	657	378	57.5	7	1.1
2020-06-05	648	397	61.3	8	1.2
2020-06-06	657	381	58.0	8	1.2
2020-06-07	657	382	58.1	8	1.2
2020-06-08	660	378	57.3	7	1.1
2020-06-09	653	371	56.8	7	1.1
2020-06-11	656	399	60.8	7	1.1
2020-06-12	656	399	60.8	7	1.1
2020-06-13	656	360	54.9	7	1.1
2020-06-14	661	387	58.5	5	0.8
2020-06-15	657	378	57.5	6	0.9
2020-06-16	657	368	56.0	6	0.9
