Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-97	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-96	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-95	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-94	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-93	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-92	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-91	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-90	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-89	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-88	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-87	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-86	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-85	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-84	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-83	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-82	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-81	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-80	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-79	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-78	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-77	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-76	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-75	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-74	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-73	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-72	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-71	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-70	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-69	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-64	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-63	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-62	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-61	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-60	2020-02-28	1	0	1	0	0.105	0.0	0.105	0.0						0.105	0.0
-59	2020-02-29	1	0	0	0	0.105	0.0	0.0	0.0						0.105	0.0
-58	2020-03-01	1	0	0	0	0.105	0.0	0.0	0.0						0.105	0.0
-57	2020-03-02	1	0	0	0	0.105	0.0	0.0	0.0						0.105	0.0
-56	2020-03-03	1	0	0	0	0.105	0.0	0.0	0.0						0.105	0.0
-55	2020-03-04	6	0	5	0	0.633	0.0	0.527	0.0						0.633	0.0
-54	2020-03-05	6	0	0	0	0.633	0.0	0.0	0.0						0.633	0.0
-53	2020-03-06	6	0	0	0	0.633	0.0	0.0	0.0						0.527	0.0
-52	2020-03-07	6	0	0	0	0.633	0.0	0.0	0.0						0.527	0.0
-51	2020-03-08	6	0	0	0	0.633	0.0	0.0	0.0						0.527	0.0
-50	2020-03-09	6	0	0	0	0.633	0.0	0.0	0.0						0.527	0.0
-49	2020-03-10	9	0	3	0	0.949	0.0	0.316	0.0						0.843	0.0
-48	2020-03-11	9	0	0	0	0.949	0.0	0.0	0.0						0.316	0.0
-47	2020-03-12	12	0	3	0	1.265	0.0	0.316	0.0						0.633	0.0
-46	2020-03-13	27	0	15	0	2.846	0.0	1.581	0.0						2.214	0.0
-45	2020-03-14	27	0	0	0	2.846	0.0	0.0	0.0						2.214	0.0
-44	2020-03-15	27	0	0	0	2.846	0.0	0.0	0.0						2.214	0.0
-43	2020-03-16	36	0	9	0	3.795	0.0	0.949	0.0						3.163	0.0
-42	2020-03-17	36	0	0	0	3.795	0.0	0.0	0.0						2.846	0.0
-41	2020-03-18	51	0	15	0	5.377	0.0	1.581	0.0						4.428	0.0
-40	2020-03-19	51	0	0	0	5.377	0.0	0.0	0.0						4.112	0.0
-39	2020-03-20	69	0	18	0	7.274	0.0	1.898	0.0						4.428	0.0
-38	2020-03-21	76	0	7	0	8.012	0.0	0.738	0.0						5.166	0.0
-37	2020-03-22	76	0	0	0	8.012	0.0	0.0	0.0						5.166	0.0
-36	2020-03-23	81	0	5	0	8.539	0.0	0.527	0.0						4.744	0.0
-35	2020-03-24	81	0	0	0	8.539	0.0	0.0	0.0						4.744	0.0
-34	2020-03-25	86	0	5	0	9.067	0.0	0.527	0.0						3.69	0.0
-33	2020-03-26	86	0	0	0	9.067	0.0	0.0	0.0						3.69	0.0
-32	2020-03-27	94	0	8	0	9.91	0.0	0.843	0.0						2.636	0.0
-31	2020-03-28	94	0	0	0	9.91	0.0	0.0	0.0						1.898	0.0
-30	2020-03-29	94	0	0	0	9.91	0.0	0.0	0.0						1.898	0.0
-29	2020-03-30	152	0	58	0	16.025	0.0	6.115	0.0						7.485	0.0
-28	2020-03-31	152	1	0	1	16.025	0.105	0.0	0.105			1.0			7.485	0.105
-27	2020-04-01	163	2	11	1	17.184	0.211	1.16	0.105	5.6		1.072		0	8.118	0.211
-26	2020-04-02	304	4	141	2	32.049	0.422	14.865	0.211	3.0	1.0	1.865		1	22.983	0.422
-25	2020-04-03	351	4	47	0	37.004	0.422	4.955	0.0	2.7	1.9	1.155		2	27.094	0.422
-24	2020-04-04	440	5	89	1	46.387	0.527	9.383	0.105	2.7	2.4	1.254		3	36.477	0.527
-23	2020-04-05	562	8	122	3	59.249	0.843	12.862	0.316	2.8	2.1	1.277		4	49.339	0.843
-22	2020-04-06	700	13	138	5	73.798	1.371	14.549	0.527	2.8	1.8	1.246		5	57.773	1.371
-21	2020-04-07	861	13	161	0	90.771	1.371	16.973	0.0	3.0	2.4	1.23	1.0	6	74.747	1.265
-20	2020-04-08	1066	13	205	0	112.383	1.371	21.612	0.0	3.2	3.3	1.238	1.0	7	95.199	1.16
-19	2020-04-09	1486	16	420	3	156.662	1.687	44.279	0.316	2.8	3.8	1.394	1.231	8	124.613	1.265
-18	2020-04-10	1981	19	495	3	208.848	2.003	52.186	0.316	2.6	4.3	1.333	1.188	9	171.843	1.581
-17	2020-04-11	2226	23	245	4	234.677	2.425	25.829	0.422	2.9	4.7	1.124	1.211	10	188.29	1.898
-16	2020-04-12	2578	26	352	3	271.787	2.741	37.11	0.316	3.3	4.9	1.158	1.13	11	212.537	1.898
-15	2020-04-13	2919	29	341	3	307.737	3.057	35.95	0.316	3.8	4.7	1.132	1.115	12	233.939	1.687
-14	2020-04-14	3281	33	362	4	345.901	3.479	38.164	0.422	4.4	4.8	1.124	1.138	13	255.129	2.109
-13	2020-04-15	3728	36	447	3	393.026	3.795	47.125	0.316	5.1	5.4	1.136	1.091	14	280.642	2.425
-12	2020-04-16	4204	40	476	4	443.208	4.217	50.182	0.422	5.5	6.0	1.128	1.111	15	286.546	2.53
-11	2020-04-17	4779	42	575	2	503.828	4.428	60.62	0.211	5.6	7.0	1.137	1.05	16	294.98	2.425
-10	2020-04-18	4779	45	0	3	503.828	4.744	0.0	0.316	6.6	7.8	1.0	1.071	17	269.151	2.319
-9	2020-04-19	4779	47	0	2	503.828	4.955	0.0	0.211	8.5	9.1	1.0	1.044	18	232.041	2.214
-8	2020-04-20	6264	51	1485	4	660.384	5.377	156.557	0.422	7.5	10.1	1.311	1.085	19	352.648	2.319
-7	2020-04-21	6723	55	459	4	708.775	5.798	48.39	0.422	7.3	10.4	1.073	1.078	20	362.874	2.319
-6	2020-04-22	7281	58	558	3	767.602	6.115	58.827	0.316	7.2	10.8	1.083	1.055	21	374.576	2.319
-5	2020-04-23	8022	60	741	2	845.722	6.326	78.12	0.211	7.0	11.3	1.102	1.034	22	402.514	2.109
-4	2020-04-24	8773	63	751	3	924.896	6.642	79.174	0.316	6.7	12.2	1.094	1.05	23	421.069	2.214
-3	2020-04-25	9590	67	817	4	1011.029	7.063	86.132	0.422	7.0	12.6	1.093	1.063	24	507.201	2.319
-2	2020-04-26	10463	72	873	5	1103.065	7.591	92.036	0.527	7.9	12.8	1.091	1.075	25	599.238	2.636
-1	2020-04-27	11289	75	826	3	1190.147	7.907	87.081	0.316	7.9	13.0	1.079	1.042	26	529.762	2.53
0	2020-04-28	12208	79	919	4	1287.0	8.0	96.886	0.422	8.1	12.8	1.081	1.053	27	578.0	3.0
