Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-89	2020-01-22	0	0	0	0									
-88	2020-01-23	0	0	0	0									
-87	2020-01-24	0	0	0	0									
-86	2020-01-25	0	0	0	0									
-85	2020-01-26	0	0	0	0									
-84	2020-01-27	0	0	0	0									
-83	2020-01-28	0	0	0	0									
-82	2020-01-29	0	0	0	0									
-81	2020-01-30	0	0	0	0									
-80	2020-01-31	0	0	0	0									
-79	2020-02-01	0	0	0	0									
-78	2020-02-02	0	0	0	0									
-77	2020-02-03	0	0	0	0									
-76	2020-02-04	0	0	0	0									
-75	2020-02-05	0	0	0	0									
-74	2020-02-06	0	0	0	0									
-73	2020-02-07	0	0	0	0									
-72	2020-02-08	0	0	0	0									
-71	2020-02-09	0	0	0	0									
-70	2020-02-10	0	0	0	0									
-69	2020-02-11	0	0	0	0									
-68	2020-02-12	0	0	0	0									
-67	2020-02-13	0	0	0	0									
-66	2020-02-14	0	0	0	0									
-65	2020-02-15	0	0	0	0									
-64	2020-02-16	0	0	0	0									
-63	2020-02-17	0	0	0	0									
-62	2020-02-18	0	0	0	0									
-61	2020-02-19	0	0	0	0									
-60	2020-02-20	0	0	0	0									
-59	2020-02-21	0	0	0	0									
-58	2020-02-22	0	0	0	0									
-57	2020-02-23	0	0	0	0									
-56	2020-02-24	0	0	0	0									
-55	2020-02-25	0	0	0	0									
-54	2020-02-26	0	0	0	0									
-53	2020-02-27	0	0	0	0									
-52	2020-02-28	0	0	0	0									
-51	2020-02-29	0	0	0	0									
-50	2020-03-01	0	0	0	0									
-49	2020-03-02	0	0	0	0									
-48	2020-03-03	0	0	0	0									
-47	2020-03-04	0	0	0	0									
-46	2020-03-05	0	0	0	0									
-45	2020-03-06	0	0	0	0									
-44	2020-03-07	0	0	0	0									
-43	2020-03-08	0	0	0	0									
-42	2020-03-09	0	0	0	0									
-41	2020-03-10	0	0	0	0									
-40	2020-03-11	0	0	0	0									
-39	2020-03-12	0	0	0	0									
-38	2020-03-13	0	0	0	0									
-37	2020-03-14	2	0	2	0	0.069		0.069						
-36	2020-03-15	10	0	8	0	0.346		0.277						
-35	2020-03-16	17	0	7	0	0.589		0.242						
-34	2020-03-17	33	0	16	0	1.143		0.554						
-33	2020-03-18	36	0	3	0	1.247		0.104						
-32	2020-03-19	42	0	6	0	1.455		0.208						
-31	2020-03-20	42	0	0	0	1.455								
-30	2020-03-21	70	0	28	0	2.425		0.97						
-29	2020-03-22	70	0	0	0	2.425								
-28	2020-03-23	77	0	7	0	2.667		0.242						
-27	2020-03-24	84	0	7	0	2.91		0.242		5.0				
-26	2020-03-25	91	0	7	0	3.152		0.242		5.8				
-25	2020-03-26	107	0	16	0	3.706		0.554		6.1				
-24	2020-03-27	107	1	0	1	3.706	0.035		0.035	8.3		1.0		
-23	2020-03-28	119	2	12	1	4.122	0.069	0.416	0.035	7.9		1.112		0
-22	2020-03-29	119	2	0	0	4.122	0.069			9.4	2.5	1.0		1
-21	2020-03-30	135	3	16	1	4.676	0.104	0.554	0.035	9.6	2.3	1.134		2
-20	2020-03-31	135	3	0	0	4.676	0.104			11.4	3.2	1.0		3
-19	2020-04-01	143	3	8	0	4.953	0.104	0.277		13.3	4.4	1.059		4
-18	2020-04-02	146	5	3	2	5.057	0.173	0.104	0.069	14.0	3.4	1.021		5
-17	2020-04-03	153	7	7	2	5.3	0.242	0.242	0.069	16.1	2.8	1.048		6
-16	2020-04-04	155	7	2	0	5.369	0.242	0.069		17.9	3.2	1.013		7
-15	2020-04-05	159	7	4	0	5.507	0.242	0.139		23.3	4.2	1.026		8
-14	2020-04-06	165	7	6	0	5.715	0.242	0.208		22.4	5.5	1.038		9
-13	2020-04-07	165	7	0	0	5.715	0.242			27.5	8.3	1.0		10
-12	2020-04-08	167	9	2	2	5.785	0.312	0.069	0.069	32.0	11.3	1.012		11
-11	2020-04-09	171	9	4	0	5.923	0.312	0.139		37.6	14.0	1.024		12
-10	2020-04-10	171	9	0	0	5.923	0.312			43.5	12.5	1.0		13
-9	2020-04-11	175	9	4	0	6.062	0.312	0.139		49.3	13.4	1.023		14
-8	2020-04-12	181	9	6	0	6.269	0.312	0.208		45.7	17.1	1.034		15
-7	2020-04-13	189	9	8	0	6.547	0.312	0.277		32.2	29.3	1.044		16
-6	2020-04-14	189	9	0	0	6.547	0.312			30.6		1.0		17
-5	2020-04-15	197	9	8	0	6.824	0.312	0.277		27.5		1.042		18
-4	2020-04-16	204	9	7	0	7.066	0.312	0.242		24.0		1.036		19
-3	2020-04-17	204	9	0	0	7.066	0.312			26.4		1.0		20
-2	2020-04-18	227	9	23	0	7.863	0.312	0.797		20.8		1.113		21
-1	2020-04-19	256	9	29	0	9.0	0.0	1.004		13.8		1.128		22
