Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-89	2020-01-22	0	0	0	0									
-88	2020-01-23	0	0	0	0									
-87	2020-01-24	0	0	0	0									
-86	2020-01-25	0	0	0	0									
-85	2020-01-26	0	0	0	0									
-84	2020-01-27	0	0	0	0									
-83	2020-01-28	0	0	0	0									
-82	2020-01-29	0	0	0	0									
-81	2020-01-30	0	0	0	0									
-80	2020-01-31	0	0	0	0									
-79	2020-02-01	0	0	0	0									
-78	2020-02-02	0	0	0	0									
-77	2020-02-03	0	0	0	0									
-76	2020-02-04	0	0	0	0									
-75	2020-02-05	0	0	0	0									
-74	2020-02-06	0	0	0	0									
-73	2020-02-07	0	0	0	0									
-72	2020-02-08	0	0	0	0									
-71	2020-02-09	0	0	0	0									
-70	2020-02-10	0	0	0	0									
-69	2020-02-11	0	0	0	0									
-68	2020-02-12	0	0	0	0									
-67	2020-02-13	0	0	0	0									
-66	2020-02-14	0	0	0	0									
-65	2020-02-15	0	0	0	0									
-64	2020-02-16	0	0	0	0									
-63	2020-02-17	0	0	0	0									
-62	2020-02-18	0	0	0	0									
-61	2020-02-19	0	0	0	0									
-60	2020-02-20	0	0	0	0									
-59	2020-02-21	0	0	0	0									
-58	2020-02-22	0	0	0	0									
-57	2020-02-23	0	0	0	0									
-56	2020-02-24	0	0	0	0									
-55	2020-02-25	0	0	0	0									
-54	2020-02-26	0	0	0	0									
-53	2020-02-27	0	0	0	0									
-52	2020-02-28	0	0	0	0									
-51	2020-02-29	0	0	0	0									
-50	2020-03-01	0	0	0	0									
-49	2020-03-02	0	0	0	0									
-48	2020-03-03	1	0	1	0	0.022		0.022						
-47	2020-03-04	1	0	0	0	0.022								
-46	2020-03-05	1	0	0	0	0.022								
-45	2020-03-06	1	0	0	0	0.022								
-44	2020-03-07	1	0	0	0	0.022								
-43	2020-03-08	1	0	0	0	0.022								
-42	2020-03-09	1	0	0	0	0.022								
-41	2020-03-10	1	0	0	0	0.022								
-40	2020-03-11	1	0	0	0	0.022								
-39	2020-03-12	1	0	0	0	0.022								
-38	2020-03-13	3	1	2	1	0.067	0.022	0.045	0.022					
-37	2020-03-14	3	1	0	0	0.067	0.022							
-36	2020-03-15	3	1	0	0	0.067	0.022							
-35	2020-03-16	7	1	4	0	0.157	0.022	0.09						
-34	2020-03-17	14	2	7	1	0.314	0.045	0.157	0.022					0
-33	2020-03-18	14	2	0	0	0.314	0.045							1
-32	2020-03-19	16	2	2	0	0.359	0.045	0.045						2
-31	2020-03-20	29	3	13	1	0.65	0.067	0.291	0.022					3
-30	2020-03-21	47	3	18	0	1.053	0.067	0.403						4
-29	2020-03-22	73	3	26	0	1.636	0.067	0.583						5
-28	2020-03-23	73	3	0	0	1.636	0.067							6
-27	2020-03-24	97	3	24	0	2.174	0.067	0.538		2.5	11.3			7
