# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths	Deaths Doublication Time	New Confirmed per Million	New Deaths per Million
-73	2020-01-22	0	0	0.0	0.0							
-72	2020-01-23	0	0	0.0	0.0							
-71	2020-01-24	0	0	0.0	0.0							
-70	2020-01-25	0	0	0.0	0.0							
-69	2020-01-26	0	0	0.0	0.0							
-68	2020-01-27	1	0	0.012	0.0							
-67	2020-01-28	4	0	0.048	0.0							
-66	2020-01-29	4	0	0.048	0.0							
-65	2020-01-30	4	0	0.048	0.0							
-64	2020-01-31	5	0	0.06	0.0							
-63	2020-02-01	8	0	0.096	0.0							
-62	2020-02-02	10	0	0.12	0.0							
-61	2020-02-03	12	0	0.144	0.0	2					0.024	
-60	2020-02-04	12	0	0.144	0.0	0					0.0	
-59	2020-02-05	12	0	0.144	0.0	0					0.0	
-58	2020-02-06	12	0	0.144	0.0	0					0.0	
-57	2020-02-07	13	0	0.156	0.0	1					0.012	
-56	2020-02-08	13	0	0.156	0.0	0					0.0	
-55	2020-02-09	14	0	0.168	0.0	1					0.012	
-54	2020-02-10	14	0	0.168	0.0	0					0.0	
-53	2020-02-11	16	0	0.192	0.0	2					0.024	
-52	2020-02-12	16	0	0.192	0.0	0					0.0	
-51	2020-02-13	16	0	0.192	0.0	0					0.0	
-50	2020-02-14	16	0	0.192	0.0	0					0.0	
-49	2020-02-15	16	0	0.192	0.0	0					0.0	
-48	2020-02-16	16	0	0.192	0.0	0					0.0	
-47	2020-02-17	16	0	0.192	0.0	0					0.0	
-46	2020-02-18	16	0	0.192	0.0	0					0.0	
-45	2020-02-19	16	0	0.192	0.0	0					0.0	
-44	2020-02-20	16	0	0.192	0.0	0					0.0	
-43	2020-02-21	16	0	0.192	0.0	0					0.0	
-42	2020-02-22	16	0	0.192	0.0	0					0.0	
-41	2020-02-23	16	0	0.192	0.0	0					0.0	
-40	2020-02-24	16	0	0.192	0.0	0					0.0	
-39	2020-02-25	17	0	0.204	0.0	1					0.012	
-38	2020-02-26	27	0	0.325	0.0	10					0.12	
-37	2020-02-27	46	0	0.553	0.0	19					0.229	
-36	2020-02-28	48	0	0.577	0.0	2					0.024	
-35	2020-02-29	79	0	0.95	0.0	31					0.373	
-34	2020-03-01	130	0	1.563	0.0	51					0.613	
-33	2020-03-02	159	0	1.912	0.0	29					0.349	
-32	2020-03-03	196	0	2.357	0.0	37					0.445	
-31	2020-03-04	262	0	3.151	0.0	66					0.794	
-30	2020-03-05	482	0	5.797	0.0	220					2.646	
-29	2020-03-06	670	0	8.058	0.0	188					2.261	
-28	2020-03-07	799	0	9.609	0.0	129					1.551	
-27	2020-03-08	1040	0	12.508	0.0	241				5.0	2.898	
-26	2020-03-09	1176	2	14.143	0.024	136			0		1.636	
-25	2020-03-10	1457	2	17.523	0.024	281	0	1.0	1	1.0	3.379	0.0
-24	2020-03-11	1908	3	22.947	0.036	451	1	1.5	2	1.3	5.424	0.012
-23	2020-03-12	2078	3	24.991	0.036	170	0	1.0	3	1.9	2.045	0.0
-22	2020-03-13	3675	7	44.198	0.084	1597	4	2.333	4	1.5	19.206	0.048
-21	2020-03-14	4585	9	55.142	0.108	910	2	1.286	5	1.7	10.944	0.024
-20	2020-03-15	5795	11	69.694	0.132	1210	2	1.222	6	2.0	14.552	0.024
-19	2020-03-16	7272	17	87.457	0.204	1477	6	1.545	7	2.0	17.763	0.072
-18	2020-03-17	9257	24	111.33	0.289	1985	7	1.412	8	2.0	23.873	0.084
-17	2020-03-18	12327	28	148.251	0.337	3070	4	1.167	9	2.3	36.922	0.048
-16	2020-03-19	15320	44	184.247	0.529	2993	16	1.571	10	2.1	35.995	0.192
-15	2020-03-20	19848	67	238.703	0.806	4528	23	1.523	11	1.9	54.456	0.277
-14	2020-03-21	22213	84	267.146	1.01	2365	17	1.254	12	2.1	28.443	0.204
-13	2020-03-22	24873	94	299.137	1.13	2660	10	1.119	13	2.5	31.991	0.12
-12	2020-03-23	29056	123	349.444	1.479	4183	29	1.309	14	2.7	50.307	0.349
-11	2020-03-24	32986	157	396.708	1.888	3930	34	1.276	15	2.8	47.264	0.409
-10	2020-03-25	37323	206	448.867	2.477	4337	49	1.312	16	2.8	52.159	0.589
-9	2020-03-26	43938	267	528.423	3.211	6615	61	1.296	17	2.8	79.556	0.734
-8	2020-03-27	50871	342	611.803	4.113	6933	75	1.281	18	2.8	83.38	0.902
-7	2020-03-28	57695	433	693.872	5.208	6824	91	1.266	19	2.8	82.069	1.094
-6	2020-03-29	62095	533	746.789	6.41	4400	100	1.231	20	2.9	52.917	1.203
-5	2020-03-30	66885	645	804.396	7.757	4790	112	1.21	21	3.0	57.607	1.347
-4	2020-03-31	71808	775	863.603	9.321	4923	130	1.202	22	3.2	59.207	1.563
-3	2020-04-01	77872	920	936.532	11.064	6064	145	1.187	23	3.5	72.929	1.744
-2	2020-04-02	84794	1107	1019.78	13.313	6922	187	1.203	24	3.6	83.248	2.249
-1	2020-04-03	91159	1275	1096.329	15.334	6365	168	1.152	25	3.9	76.549	2.02
0	2020-04-04	96092	1444	1155.656	17.366	4933	169	1.133	26	4.2	59.327	2.032
