Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-186	2020-01-22	2	0	2	0	0	0	0	0.0						0	0.0
-185	2020-01-23	3	0	1	0	0	0	0	0.0						0	0.0
-184	2020-01-24	5	0	2	0	0	0	0	0.0						0	0.0
-183	2020-01-25	7	0	2	0	0	0	0	0.0						0	0.0
-182	2020-01-26	8	0	1	0	0	0	0	0.0						0	0.0
-181	2020-01-27	8	0	0	0	0	0	0	0.0						0	0.0
-180	2020-01-28	14	0	6	0	0	0	0	0.0						0	0.0
-179	2020-01-29	14	0	0	0	0	0	0	0.0						0	0.0
-178	2020-01-30	14	0	0	0	0	0	0	0.0						0	0.0
-177	2020-01-31	19	0	5	0	0	0	0	0.0						0	0.0
-176	2020-02-01	19	0	0	0	0	0	0	0.0						0	0.0
-175	2020-02-02	19	0	0	0	0	0	0	0.0						0	0.0
-174	2020-02-03	19	0	0	0	0	0	0	0.0						0	0.0
-173	2020-02-04	25	0	6	0	0	0	0	0.0						0	0.0
-172	2020-02-05	25	0	0	0	0	0	0	0.0						0	0.0
-171	2020-02-06	25	0	0	0	0	0	0	0.0						0	0.0
-170	2020-02-07	25	0	0	0	0	0	0	0.0						0	0.0
-169	2020-02-08	32	0	7	0	0	0	0	0.0						0	0.0
-168	2020-02-09	32	0	0	0	0	0	0	0.0						0	0.0
-167	2020-02-10	32	0	0	0	0	0	0	0.0						0	0.0
-166	2020-02-11	33	0	1	0	0	0	0	0.0						0	0.0
-165	2020-02-12	33	0	0	0	0	0	0	0.0						0	0.0
-164	2020-02-13	33	0	0	0	0	0	0	0.0						0	0.0
-163	2020-02-14	33	0	0	0	0	0	0	0.0						0	0.0
-162	2020-02-15	33	0	0	0	0	0	0	0.0						0	0.0
-161	2020-02-16	34	0	1	0	0	0	0	0.0						0	0.0
-160	2020-02-17	35	0	1	0	0	0	0	0.0						0	0.0
-159	2020-02-18	35	0	0	0	0	0	0	0.0						0	0.0
-158	2020-02-19	35	0	0	0	0	0	0	0.0						0	0.0
-157	2020-02-20	35	0	0	0	0	0	0	0.0						0	0.0
-156	2020-02-21	35	0	0	0	0	0	0	0.0						0	0.0
-155	2020-02-22	35	0	0	0	0	0	0	0.0						0	0.0
-154	2020-02-23	35	0	0	0	0	0	0	0.0						0	0.0
-153	2020-02-24	35	0	0	0	0	0	0	0.0						0	0.0
-152	2020-02-25	37	0	2	0	0	0	0	0.0						0	0.0
-151	2020-02-26	40	0	3	0	0	0	0	0.0						0	0.0
-150	2020-02-27	40	0	0	0	0	0	0	0.0						0	0.0
-149	2020-02-28	41	0	1	0	0	0	0	0.0						0	0.0
-148	2020-02-29	42	0	1	0	0	0	0	0.0						0	0.0
-147	2020-03-01	42	1	0	1	0	0	0	0.014						0	0.01
-146	2020-03-02	43	1	1	0	0	0	0	0.0						0	0.01
-145	2020-03-03	43	1	0	0	0	0	0	0.0						0	0.01
-144	2020-03-04	43	1	0	0	0	0	0	0.0						0	0.01
