Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-69	2020-01-22	1	0	1	0	0.019	0.0	0.019	0.0						0.0	0.0
-68	2020-01-23	1	0	0	0	0.019	0.0	0.0	0.0						0.0	0.0
-67	2020-01-24	2	0	1	0	0.039	0.0	0.019	0.0						0.0	0.0
-66	2020-01-25	2	0	0	0	0.039	0.0	0.0	0.0						0.0	0.0
-65	2020-01-26	3	0	1	0	0.058	0.0	0.019	0.0						0.0	0.0
-64	2020-01-27	4	0	1	0	0.077	0.0	0.019	0.0						0.0	0.0
-63	2020-01-28	4	0	0	0	0.077	0.0	0.0	0.0						0.0	0.0
-62	2020-01-29	4	0	0	0	0.077	0.0	0.0	0.0						0.058	0.0
-61	2020-01-30	4	0	0	0	0.077	0.0	0.0	0.0						0.058	0.0
-60	2020-01-31	11	0	7	0	0.213	0.0	0.136	0.0						0.174	0.0
-59	2020-02-01	12	0	1	0	0.232	0.0	0.019	0.0						0.194	0.0
-58	2020-02-02	15	0	3	0	0.29	0.0	0.058	0.0						0.232	0.0
-57	2020-02-03	15	0	0	0	0.29	0.0	0.0	0.0						0.213	0.0
-56	2020-02-04	16	0	1	0	0.31	0.0	0.019	0.0						0.232	0.0
-55	2020-02-05	19	0	3	0	0.368	0.0	0.058	0.0						0.29	0.0
-54	2020-02-06	23	0	4	0	0.445	0.0	0.077	0.0						0.368	0.0
-53	2020-02-07	24	0	1	0	0.465	0.0	0.019	0.0						0.252	0.0
-52	2020-02-08	24	0	0	0	0.465	0.0	0.0	0.0						0.232	0.0
-51	2020-02-09	25	0	1	0	0.484	0.0	0.019	0.0						0.194	0.0
-50	2020-02-10	27	0	2	0	0.523	0.0	0.039	0.0						0.232	0.0
-49	2020-02-11	28	0	1	0	0.542	0.0	0.019	0.0						0.232	0.0
-48	2020-02-12	28	0	0	0	0.542	0.0	0.0	0.0						0.174	0.0
-47	2020-02-13	28	0	0	0	0.542	0.0	0.0	0.0						0.097	0.0
