# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths	Deaths Doublication Time	New Confirmed per Million	New Deaths per Million
-73	2020-01-22	1	0	0.019	0.0							
-72	2020-01-23	1	0	0.019	0.0							
-71	2020-01-24	2	0	0.039	0.0							
-70	2020-01-25	2	0	0.039	0.0							
-69	2020-01-26	3	0	0.058	0.0							
-68	2020-01-27	4	0	0.077	0.0							
-67	2020-01-28	4	0	0.077	0.0							
-66	2020-01-29	4	0	0.077	0.0							
-65	2020-01-30	4	0	0.077	0.0							
-64	2020-01-31	11	0	0.213	0.0							
-63	2020-02-01	12	0	0.232	0.0	1					0.019	
-62	2020-02-02	15	0	0.29	0.0	3					0.058	
-61	2020-02-03	15	0	0.29	0.0	0					0.0	
-60	2020-02-04	16	0	0.309	0.0	1					0.019	
-59	2020-02-05	19	0	0.367	0.0	3					0.058	
-58	2020-02-06	23	0	0.445	0.0	4					0.077	
-57	2020-02-07	24	0	0.464	0.0	1					0.019	
-56	2020-02-08	24	0	0.464	0.0	0					0.0	
-55	2020-02-09	25	0	0.483	0.0	1					0.019	
-54	2020-02-10	27	0	0.522	0.0	2					0.039	
-53	2020-02-11	28	0	0.541	0.0	1					0.019	
-52	2020-02-12	28	0	0.541	0.0	0					0.0	
-51	2020-02-13	28	0	0.541	0.0	0					0.0	
-50	2020-02-14	28	0	0.541	0.0	0					0.0	
-49	2020-02-15	28	0	0.541	0.0	0					0.0	
-48	2020-02-16	29	0	0.561	0.0	1					0.019	
-47	2020-02-17	30	0	0.58	0.0	1					0.019	
-46	2020-02-18	31	0	0.6	0.0	1					0.019	
-45	2020-02-19	31	0	0.6	0.0	0					0.0	
-44	2020-02-20	104	1	2.011	0.019	73					1.412	
-43	2020-02-21	204	2	3.945	0.039	100	1	2.0	0		1.934	0.019
-42	2020-02-22	433	2	8.374	0.039	229	0	1.0	1		4.429	0.0
-41	2020-02-23	602	6	11.642	0.116	169	4	3.0	2		3.268	0.077
-40	2020-02-24	833	8	16.109	0.155	231	2	1.333	3		4.467	0.039
-39	2020-02-25	977	10	18.894	0.193	144	2	1.25	4		2.785	0.039
-38	2020-02-26	1261	12	24.386	0.232	284	2	1.2	5		5.492	0.039
-37	2020-02-27	1766	13	34.153	0.251	505	1	1.083	6		9.766	0.019
-36	2020-02-28	2337	13	45.195	0.251	571	0	1.0	7		11.043	0.0
-35	2020-02-29	3150	16	60.918	0.309	813	3	1.231	8		15.723	0.058
-34	2020-03-01	3736	17	72.25	0.329	586	1	1.062	9		11.333	0.019
-33	2020-03-02	4335	28	83.834	0.541	599	11	1.647	10		11.584	0.213
-32	2020-03-03	5186	28	100.292	0.541	851	0	1.0	11		16.457	0.0
-31	2020-03-04	5621	35	108.704	0.677	435	7	1.25	12		8.412	0.135
-30	2020-03-05	6088	35	117.736	0.677	467	0	1.0	13		9.031	0.0
-29	2020-03-06	6593	42	127.502	0.812	505	7	1.2	14		9.766	0.135
-28	2020-03-07	7041	44	136.166	0.851	448	2	1.048	15		8.664	0.039
-27	2020-03-08	7314	50	141.445	0.967	273	6	1.136	16	5.9	5.28	0.116
-26	2020-03-09	7478	53	144.617	1.025	164	3	1.06	17	7.2	3.172	0.058
-25	2020-03-10	7513	54	145.294	1.044	35	1	1.019	18	7.9	0.677	0.019
-24	2020-03-11	7755	60	149.974	1.16	242	6	1.111	19	8.8	4.68	0.116
-23	2020-03-12	7869	66	152.178	1.276	114	6	1.1	20	8.7	2.205	0.116
-22	2020-03-13	7979	66	154.306	1.276	110	0	1.0	21	10.3	2.127	0.0
-21	2020-03-14	8086	72	156.375	1.392	107	6	1.091	22	10.6	2.069	0.116
-20	2020-03-15	8162	75	157.845	1.45	76	3	1.042	23	11.6	1.47	0.058
-19	2020-03-16	8236	75	159.276	1.45	74	0	1.0	24	13.0	1.431	0.0
-18	2020-03-17	8320	81	160.9	1.566	84	6	1.08	25	13.6	1.624	0.116
-17	2020-03-18	8413	84	162.699	1.624	93	3	1.037	26	15.5	1.799	0.058
-16	2020-03-19	8565	91	165.638	1.76	152	7	1.083	27	15.0	2.94	0.135
-15	2020-03-20	8652	94	167.321	1.818	87	3	1.033	28	14.2	1.682	0.058
-14	2020-03-21	8799	102	170.163	1.973	147	8	1.085	29	13.6	2.843	0.155
-13	2020-03-22	8961	111	173.296	2.147	162	9	1.088	30	11.8	3.133	0.174
-12	2020-03-23	8961	111	173.296	2.147	0	0	1.0	31	11.9	0.0	0.0
-11	2020-03-24	9037	120	174.766	2.321	76	9	1.081	32	12.1	1.47	0.174
-10	2020-03-25	9137	126	176.7	2.437	100	6	1.05	33	12.3	1.934	0.116
-9	2020-03-26	9241	131	178.711	2.533	104	5	1.04	34	13.1	2.011	0.097
-8	2020-03-27	9332	139	180.471	2.688	91	8	1.061	35	13.3	1.76	0.155
-7	2020-03-28	9478	144	183.295	2.785	146	5	1.036	36	14.3	2.823	0.097
-6	2020-03-29	9583	152	185.325	2.94	105	8	1.056	37	14.6	2.031	0.155
-5	2020-03-30	9661	158	186.834	3.056	78	6	1.039	38	14.3	1.508	0.116
-4	2020-03-31	9786	162	189.251	3.133	125	4	1.025	39	15.8	2.417	0.077
-3	2020-04-01	9887	165	191.204	3.191	101	3	1.019	40	17.5	1.953	0.058
-2	2020-04-02	9976	169	192.925	3.268	89	4	1.024	41	19.7	1.721	0.077
-1	2020-04-03	10062	174	194.589	3.365	86	5	1.03	42	22.4	1.663	0.097
0	2020-04-04	10156	177	196.406	3.423	94	3	1.017	43	25.3	1.818	0.058
