Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death
-90	2020-01-22	0	0	0	0									
-89	2020-01-23	0	0	0	0									
-88	2020-01-24	0	0	0	0									
-87	2020-01-25	0	0	0	0									
-86	2020-01-26	0	0	0	0									
-85	2020-01-27	0	0	0	0									
-84	2020-01-28	0	0	0	0									
-83	2020-01-29	0	0	0	0									
-82	2020-01-30	0	0	0	0									
-81	2020-01-31	0	0	0	0									
-80	2020-02-01	0	0	0	0									
-79	2020-02-02	0	0	0	0									
-78	2020-02-03	0	0	0	0									
-77	2020-02-04	0	0	0	0									
-76	2020-02-05	0	0	0	0									
-75	2020-02-06	0	0	0	0									
-74	2020-02-07	0	0	0	0									
-73	2020-02-08	0	0	0	0									
-72	2020-02-09	0	0	0	0									
-71	2020-02-10	0	0	0	0									
-70	2020-02-11	0	0	0	0									
-69	2020-02-12	0	0	0	0									
-68	2020-02-13	0	0	0	0									
-67	2020-02-14	0	0	0	0									
-66	2020-02-15	0	0	0	0									
-65	2020-02-16	0	0	0	0									
-64	2020-02-17	0	0	0	0									
-63	2020-02-18	0	0	0	0									
-62	2020-02-19	0	0	0	0									
-61	2020-02-20	0	0	0	0									
-60	2020-02-21	0	0	0	0									
-59	2020-02-22	0	0	0	0									
-58	2020-02-23	0	0	0	0									
-57	2020-02-24	0	0	0	0									
-56	2020-02-25	0	0	0	0									
-55	2020-02-26	0	0	0	0									
-54	2020-02-27	1	0	1	0	0.172		0.172						
-53	2020-02-28	1	0	0	0	0.172								
-52	2020-02-29	3	0	2	0	0.517		0.345						
-51	2020-03-01	4	0	1	0	0.69		0.172						
-50	2020-03-02	4	0	0	0	0.69								
-49	2020-03-03	6	0	2	0	1.035		0.345						
-48	2020-03-04	11	0	5	0	1.897		0.862						
-47	2020-03-05	11	0	0	0	1.897								
-46	2020-03-06	24	0	13	0	4.14		2.242						
-45	2020-03-07	24	0	0	0	4.14								
-44	2020-03-08	37	0	13	0	6.382		2.242						
-43	2020-03-09	92	0	55	0	15.869		9.487						
-42	2020-03-10	264	0	172	0	45.537		29.668						
-41	2020-03-11	444	0	180	0	76.585		31.048				1.682		
-40	2020-03-12	617	0	173	0	106.426		29.841				1.39		
-39	2020-03-13	804	0	187	0	138.682		32.256				1.303		
-38	2020-03-14	836	1	32	1	144.201	0.172	5.52	0.172			1.04		
-37	2020-03-15	875	2	39	1	150.929	0.345	6.727	0.172			1.047		0
-36	2020-03-16	933	3	58	1	160.933	0.517	10.004	0.172			1.066		1
-35	2020-03-17	1025	4	92	1	176.802	0.69	15.869	0.172			1.099		2
-34	2020-03-18	1116	4	91	0	192.499	0.69	15.697				1.089		3
-33	2020-03-19	1225	6	109	2	211.3	1.035	18.801	0.345			1.098		4
-32	2020-03-20	1337	9	112	3	230.619	1.552	19.319	0.517			1.091		5
-31	2020-03-21	1420	13	83	4	244.935	2.242	14.317	0.69			1.062		6
-30	2020-03-22	1514	13	94	0	261.149	2.242	16.214				1.066	1.0	7
-29	2020-03-23	1572	24	58	11	271.154	4.14	10.004	1.897			1.038	1.846	8
-28	2020-03-24	1718	32	146	8	296.337	5.52	25.184	1.38			1.093	1.333	9
-27	2020-03-25	1862	34	144	2	321.176	5.865	24.839	0.345	10.4	2.6	1.084	1.062	10
-26	2020-03-26	2023	41	161	7	348.947	7.072	27.771	1.207	9.9	3.0	1.086	1.206	11
-25	2020-03-27	2200	52	177	11	379.477	8.969	30.531	1.897	9.2	3.2	1.087	1.268	12
-24	2020-03-28	2366	65	166	13	408.111	11.212	28.633	2.242	8.8	3.2	1.075	1.25	13
-23	2020-03-29	2564	72	198	7	442.264	12.419	34.153	1.207	8.6	3.8	1.084	1.108	14
-22	2020-03-30	2755	77	191	5	475.209	13.282	32.946	0.862	8.8	4.4	1.074	1.069	15
-21	2020-03-31	3039	90	284	13	524.196	15.524	48.987	2.242	8.6	4.7	1.103	1.169	16
-20	2020-04-01	3290	104	251	14	567.491	17.939	43.295	2.415	8.5	5.0	1.083	1.156	17
-19	2020-04-02	3573	123	283	19	616.306	21.216	48.815	3.277	8.4	5.1	1.086	1.183	18
-18	2020-04-03	3946	139	373	16	680.645	23.976	64.339	2.76	8.1	5.1	1.104	1.13	19
-17	2020-04-04	4269	161	323	22	736.359	27.771	55.714	3.795	8.0	4.9	1.082	1.158	20
-16	2020-04-05	4561	179	292	18	786.726	30.876	50.367	3.105	8.3	5.0	1.068	1.112	21
-15	2020-04-06	4875	187	314	8	840.888	32.256	54.162	1.38	8.8	5.8	1.069	1.045	22
-14	2020-04-07	5266	203	391	16	908.331	35.015	67.443	2.76	9.0	6.7	1.08	1.086	23
-13	2020-04-08	5597	218	331	15	965.425	37.603	57.094	2.587	9.6	7.8	1.063	1.074	24
-12	2020-04-09	5830	237	233	19	1005.615	40.88	40.19	3.277	10.6	8.6	1.042	1.087	25
-11	2020-04-10	6014	247	184	10	1037.353	42.605	31.738	1.725	12.0	9.8	1.032	1.042	26
-10	2020-04-11	6191	260	177	13	1067.884	44.847	30.531	2.242	13.9	10.7	1.029	1.053	27
-9	2020-04-12	6369	273	178	13	1098.587	47.09	30.703	2.242	16.7	11.3	1.029	1.05	28
-8	2020-04-13	6513	285	144	12	1123.426	49.16	24.839	2.07	20.7	12.7	1.023	1.044	29
-7	2020-04-14	6706	299	193	14	1156.716	51.574	33.291	2.415	23.8	13.9	1.03	1.049	30
-6	2020-04-15	6876	309	170	10	1186.04	53.299	29.323	1.725	25.5	15.4	1.025	1.033	31
-5	2020-04-16	7074	321	198	12	1220.192	55.369	34.153	2.07	25.9	16.0	1.029	1.039	32
-4	2020-04-17	7268	336	194	15	1253.655	57.957	33.463	2.587	26.0	16.6	1.027	1.047	33
-3	2020-04-18	7437	346	169	10	1282.806	59.681	29.151	1.725	26.3	17.6	1.023	1.03	34
-2	2020-04-19	7580	355	143	9	1307.472	61.234	24.666	1.552	27.2	18.9	1.019	1.026	35
-1	2020-04-20	7711	364	131	9	1330.068	62.786	22.596	1.552	29.4	20.8	1.017	1.025	36
0	2020-04-21	7891	370	180	6	1361.0	64.0	31.048	1.035	31.1	23.3	1.023	1.016	37
