Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-187	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-186	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-185	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-184	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-183	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-182	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-181	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-180	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-179	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-178	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-177	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-176	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-175	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-174	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-173	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-172	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-171	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-170	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-169	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-168	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-167	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-166	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-165	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-164	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-163	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-162	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-161	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-160	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-159	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-158	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-157	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-156	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-155	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-154	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-153	2020-02-25	1	0	1	0	0	0	0	0.0						0	0.0
-152	2020-02-26	3	0	2	0	0	0	0	0.0						0	0.0
-151	2020-02-27	3	0	0	0	0	0	0	0.0						0	0.0
-150	2020-02-28	5	0	2	0	1	0	0	0.0						1	0.0
-149	2020-02-29	6	0	1	0	1	0	0	0.0						1	0.0
-148	2020-03-01	7	0	1	0	1	0	0	0.0						1	0.0
-147	2020-03-02	7	0	0	0	1	0	0	0.0						1	0.0
-146	2020-03-03	9	0	2	0	2	0	0	0.0						1	0.0
-145	2020-03-04	10	0	1	0	2	0	0	0.0						1	0.0
-144	2020-03-05	10	0	0	0	2	0	0	0.0						1	0.0
-143	2020-03-06	11	0	1	0	2	0	0	0.0						1	0.0
-142	2020-03-07	12	0	1	0	2	0	0	0.0						1	0.0
-141	2020-03-08	12	0	0	0	2	0	0	0.0						1	0.0
-140	2020-03-09	12	0	0	0	2	0	0	0.0						1	0.0
-139	2020-03-10	14	0	2	0	3	0	0	0.0						1	0.0
-138	2020-03-11	19	0	5	0	4	0	1	0.0						2	0.0
-137	2020-03-12	19	0	0	0	4	0	0	0.0						2	0.0
-136	2020-03-13	32	0	13	0	7	0	3	0.0						5	0.0
-135	2020-03-14	38	0	6	0	9	0	1	0.0						6	0.0
-134	2020-03-15	49	0	11	0	11	0	2	0.0						9	0.0
-133	2020-03-16	57	0	8	0	13	0	1	0.0						11	0.0
-132	2020-03-17	65	0	8	0	15	0	1	0.0						12	0.0
-131	2020-03-18	81	0	16	0	19	0	3	0.0						15	0.0
-130	2020-03-19	105	1	24	1	25	0	5	0.245						21	0.24
-129	2020-03-20	128	1	23	0	31	0	5	0.0						23	0.24
-128	2020-03-21	206	1	78	0	50	0	19	0.0						41	0.24
-127	2020-03-22	254	1	48	0	62	0	11	0.0						50	0.24
-126	2020-03-23	315	1	61	0	77	0	14	0.0						63	0.24
-125	2020-03-24	382	1	67	0	93	0	16	0.0						77	0.24
-124	2020-03-25	442	1	60	0	108	0	14	0.0						88	0.24
-123	2020-03-26	495	3	53	2	121	0	12	0.489					0	95	0.49
-122	2020-03-27	586	3	91	0	143	0	22	0.0					1	111	0.49
-121	2020-03-28	657	5	71	2	160	1	17	0.489					2	110	0.98
-120	2020-03-29	713	6	56	1	174	1	13	0.245					3	112	1.22
-119	2020-03-30	790	6	77	0	193	1	18	0.0					4	116	1.22
-118	2020-03-31	867	6	77	0	212	1	18	0.0					5	118	1.22
-117	2020-04-01	963	6	96	0	235	1	23	0.0					6	127	1.22
-116	2020-04-02	1011	7	48	1	247	1	11	0.245					7	126	0.98
-115	2020-04-03	1079	8	68	1	263	1	16	0.245					8	120	1.22
-114	2020-04-04	1126	12	47	4	275	2	11	0.978					9	114	1.71
-113	2020-04-05	1182	15	56	3	289	3	13	0.734					10	114	2.2
-112	2020-04-06	1222	16	40	1	298	3	9	0.245					11	105	2.45
-111	2020-04-07	1282	18	60	2	313	4	14	0.489					12	101	2.93
-110	2020-04-08	1343	19	61	1	328	4	14	0.245					13	92	3.18
-109	2020-04-09	1407	20	64	1	344	4	15	0.245					14	96	3.18
-108	2020-04-10	1495	21	88	1	365	5	21	0.245					15	101	3.18
-107	2020-04-11	1534	21	39	0	375	5	9	0.0					16	99	2.2
-106	2020-04-12	1600	23	66	2	391	5	16	0.489					17	102	1.96
-105	2020-04-13	1650	25	50	2	403	6	12	0.489					18	104	2.2
-104	2020-04-14	1704	31	54	6	416	7	13	1.467					19	103	3.18
-103	2020-04-15	1741	33	37	2	425	8	9	0.489					20	97	3.42
-102	2020-04-16	1791	35	50	2	437	8	12	0.489					21	93	3.67
-101	2020-04-17	1814	36	23	1	443	8	5	0.245					22	78	3.67
-100	2020-04-18	1832	39	18	3	447	9	4	0.734					23	72	4.4
-99	2020-04-19	1871	47	39	8	457	11	9	1.956					24	66	5.87
-98	2020-04-20	1881	47	10	0	459	11	2	0.0					25	56	5.38
-97	2020-04-21	1908	48	27	1	466	11	6	0.245					26	49	4.16
-96	2020-04-22	1950	48	42	0	476	11	10	0.0					27	51	3.67
-95	2020-04-23	1981	50	31	2	484	12	7	0.489					28	46	3.67
-94	2020-04-24	2009	51	28	1	491	12	6	0.245					29	47	3.67
-93	2020-04-25	2016	54	7	3	492	13	1	0.734					30	44	3.67
-92	2020-04-26	2030	55	14	1	496	13	3	0.245					31	38	1.96
-91	2020-04-27	2039	59	9	4	498	14	2	0.978					32	38	2.93
-90	2020-04-28	2047	63	8	4	500	15	1	0.978					33	33	3.67
-89	2020-04-29	2062	67	15	4	504	16	3	0.978					34	27	4.65
