Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-117	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-116	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-115	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-114	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-113	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-112	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-111	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-110	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-109	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-108	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-107	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-106	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-105	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-104	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-103	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-102	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-101	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-100	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-99	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-98	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-97	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-96	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-95	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-94	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-93	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-92	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-91	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-90	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-89	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-88	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-87	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-86	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-85	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-84	2020-02-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-83	2020-02-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-82	2020-02-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-81	2020-02-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-80	2020-02-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-79	2020-02-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-78	2020-03-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-77	2020-03-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-76	2020-03-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-75	2020-03-04	1	0	1	0	0.026	0.0	0.026	0.0						0.026	0.0
-74	2020-03-05	1	0	0	0	0.026	0.0	0.0	0.0						0.026	0.0
-73	2020-03-06	5	0	4	0	0.132	0.0	0.105	0.0						0.132	0.0
-72	2020-03-07	5	0	0	0	0.132	0.0	0.0	0.0						0.132	0.0
-71	2020-03-08	11	0	6	0	0.29	0.0	0.158	0.0						0.29	0.0
-70	2020-03-09	16	0	5	0	0.421	0.0	0.132	0.0						0.421	0.0
-69	2020-03-10	22	0	6	0	0.579	0.0	0.158	0.0						0.579	0.0
-68	2020-03-11	31	0	9	0	0.816	0.0	0.237	0.0						0.79	0.0
-67	2020-03-12	49	1	18	1	1.29	0.026	0.474	0.026						1.264	0.026
-66	2020-03-13	68	2	19	1	1.79	0.053	0.5	0.026					0	1.659	0.053
-65	2020-03-14	103	3	35	1	2.712	0.079	0.922	0.026					1	2.58	0.079
-64	2020-03-15	119	3	16	0	3.133	0.079	0.421	0.0			1.155		2	2.844	0.079
-63	2020-03-16	177	4	58	1	4.661	0.105	1.527	0.026			1.487		3	4.239	0.105
-62	2020-03-17	238	5	61	1	6.267	0.132	1.606	0.026			1.345		4	5.687	0.132
-61	2020-03-18	251	5	13	0	6.609	0.132	0.342	0.0			1.055		5	5.793	0.132
-60	2020-03-19	355	5	104	0	9.347	0.132	2.738	0.0			1.414		6	8.057	0.105
-59	2020-03-20	425	5	70	0	11.191	0.132	1.843	0.0			1.197		7	9.4	0.079
-58	2020-03-21	536	5	111	0	14.113	0.132	2.923	0.0			1.261		8	11.401	0.053
-57	2020-03-22	634	7	98	2	16.694	0.184	2.58	0.053			1.183		9	13.56	0.105
-56	2020-03-23	749	8	115	1	19.722	0.211	3.028	0.026			1.181		10	15.061	0.105
-55	2020-03-24	901	10	152	2	23.724	0.263	4.002	0.053			1.203		11	17.457	0.132
-54	2020-03-25	1051	14	150	4	27.674	0.369	3.95	0.105			1.166	1.4	12	21.065	0.237
-53	2020-03-26	1221	16	170	2	32.15	0.421	4.476	0.053			1.162	1.143	13	22.802	0.29
-52	2020-03-27	1389	16	168	0	36.573	0.421	4.424	0.0			1.138	1.0	14	25.383	0.29
-51	2020-03-28	1638	18	249	2	43.13	0.474	6.556	0.053			1.179	1.125	15	29.016	0.342
-50	2020-03-29	1862	22	224	4	49.028	0.579	5.898	0.105			1.137	1.222	16	32.334	0.395
-49	2020-03-30	2055	31	193	9	54.109	0.816	5.082	0.237			1.104	1.409	17	34.388	0.606
