Country	Date	Population	Cases	Deaths	Cases_Per_Million	Deaths_Per_Million	Code	a	b	Deaths	Deaths_Doubling_Time	Factor at t+1	Deaths at t+1	Factor at t+7	Deaths at t+7	Days till deaths/pop of Italy
Austria	2020-07-11	8902600	18783	706	2123	79	AT	128	130.240	0.211	3.280	1.235	158	4.390	561	3.0
Belgium	2020-07-11	11515793	62469	9782	5469	856	BE	705	684.581	0.227	3.060	1.254	884	4.882	3442	-1.4
Canada	2020-07-11	37894799	109150	8818	2945	237	CA	101	99.024	0.182	3.799	1.200	121	3.586	362	1.7
Czechia	2020-07-11	10649800	13115	352	1234	33	CZ	31	30.555	0.296	2.342	1.344	41	7.941	246	4.0
Denmark	2020-07-11	5822763	13147	609	2267	105	DK	90	91.935	0.147	4.702	1.159	104	2.807	252	3.9
Finland	2020-07-11	5521158	7291	329	1321	59	FI	17	17.082	0.239	2.900	1.270	21	5.329	90	4.7
France	2020-07-11	67022000	208015	30007	3105	447	FR	3532	3542.954	0.150	4.615	1.162	4104	2.861	10106	1.7
Germany	2020-07-11	83149300	199709	9070	2408	109	DE	775	788.411	0.210	3.304	1.233	955	4.342	3364	2.4
Greece	2020-07-11	10768477	3772	193	351	17	GR	49	49.013	0.134	5.180	1.143	56	2.551	125	18.2
Hungary	2020-07-11	9772756	4229	595	432	60	HU	16	15.860	0.095	7.276	1.100	17	1.948	31	23.4
Iran	2020-07-11	83183741	255117	12635	3118	154	IR	2898	2919.445	0.054	12.937	1.055	3057	1.455	4216	4.7
Italy	2020-07-11	60317546	242827	34945	4018	578	IT	12428	12584.993	0.083	8.382	1.086	13499	1.784	22172	0.0
Japan	2020-07-11	126150000	21430	982	169	7	JP	56	56.683	0.036	19.213	1.037	58	1.287	72	87.8
Netherlands	2020-07-11	17424978	51136	6156	2967	357	NL	1040	1045.413	0.169	4.094	1.184	1231	3.271	3401	1.8
Portugal	2020-07-11	10276617	46221	1654	4495	160	PT	160	166.532	0.195	3.561	1.215	194	3.907	625	-0.6
South Korea	2020-07-11	51709098	13417	289	259	5	KR	162	163.909	0.043	16.091	1.044	169	1.352	219	63.6
Spain	2020-07-11	46733038	253908	28403	5434	607	ES	8464	8692.025	0.134	5.161	1.144	9680	2.560	21670	-2.2
Sweden	2020-07-11	10333456	74898	5526	7355	542	SE	180	173.859	0.164	4.221	1.178	212	3.157	568	-3.7
Switzerland	2020-07-11	8570146	32817	1968	3853	231	CH	433	428.494	0.165	4.209	1.179	510	3.167	1371	0.3
Turkey	2020-07-11	83154997	211981	5344	2575	64	TR	214	210.374	0.215	3.222	1.240	265	4.509	964	2.1
United Kingdom	2020-07-11	67545757	290504	44883	4369	675	GB	2429	2467.329	0.195	3.546	1.216	2953	3.928	9541	-0.4
United States	2020-07-11	328239523	3245925	134777	9921	411	US	5367	5340.130	0.224	3.091	1.251	6716	4.805	25790	-4.0
