Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-149	2020-01-22	2	0	2	0	0.016	0.0	0.016	0.0						0.0	0.0
-148	2020-01-23	2	0	0	0	0.016	0.0	0.0	0.0						0.0	0.0
-147	2020-01-24	2	0	0	0	0.016	0.0	0.0	0.0						0.0	0.0
-146	2020-01-25	2	0	0	0	0.016	0.0	0.0	0.0						0.0	0.0
-145	2020-01-26	4	0	2	0	0.032	0.0	0.016	0.0						0.0	0.0
-144	2020-01-27	4	0	0	0	0.032	0.0	0.0	0.0						0.0	0.0
-143	2020-01-28	7	0	3	0	0.055	0.0	0.024	0.0						0.0	0.0
-142	2020-01-29	7	0	0	0	0.055	0.0	0.0	0.0						0.04	0.0
-141	2020-01-30	11	0	4	0	0.087	0.0	0.032	0.0						0.071	0.0
-140	2020-01-31	15	0	4	0	0.119	0.0	0.032	0.0						0.103	0.0
-139	2020-02-01	20	0	5	0	0.158	0.0	0.04	0.0						0.142	0.0
-138	2020-02-02	20	0	0	0	0.158	0.0	0.0	0.0						0.126	0.0
-137	2020-02-03	20	0	0	0	0.158	0.0	0.0	0.0						0.126	0.0
-136	2020-02-04	22	0	2	0	0.174	0.0	0.016	0.0						0.119	0.0
-135	2020-02-05	22	0	0	0	0.174	0.0	0.0	0.0						0.119	0.0
-134	2020-02-06	22	0	0	0	0.174	0.0	0.0	0.0						0.087	0.0
-133	2020-02-07	25	0	3	0	0.198	0.0	0.024	0.0						0.079	0.0
-132	2020-02-08	25	0	0	0	0.198	0.0	0.0	0.0						0.04	0.0
-131	2020-02-09	26	0	1	0	0.205	0.0	0.008	0.0						0.047	0.0
-130	2020-02-10	26	0	0	0	0.205	0.0	0.0	0.0						0.047	0.0
-129	2020-02-11	26	0	0	0	0.205	0.0	0.0	0.0						0.032	0.0
-128	2020-02-12	28	0	2	0	0.221	0.0	0.016	0.0						0.047	0.0
-127	2020-02-13	28	1	0	1	0.221	0.008	0.0	0.008						0.047	0.008
-126	2020-02-14	29	1	1	0	0.229	0.008	0.008	0.0						0.032	0.008
-125	2020-02-15	43	1	14	0	0.34	0.008	0.111	0.0						0.142	0.008
-124	2020-02-16	59	1	16	0	0.466	0.008	0.126	0.0						0.261	0.008
-123	2020-02-17	66	1	7	0	0.522	0.008	0.055	0.0						0.316	0.008
-122	2020-02-18	74	1	8	0	0.585	0.008	0.063	0.0						0.379	0.008
-121	2020-02-19	84	1	10	0	0.664	0.008	0.079	0.0						0.443	0.008
-120	2020-02-20	94	1	10	0	0.743	0.008	0.079	0.0						0.522	0.0
-119	2020-02-21	105	1	11	0	0.83	0.008	0.087	0.0						0.601	0.0
-118	2020-02-22	122	1	17	0	0.964	0.008	0.134	0.0						0.624	0.0
-117	2020-02-23	147	1	25	0	1.162	0.008	0.198	0.0						0.695	0.0
-116	2020-02-24	159	1	12	0	1.257	0.008	0.095	0.0						0.735	0.0
-115	2020-02-25	170	1	11	0	1.344	0.008	0.087	0.0						0.759	0.0
-114	2020-02-26	189	2	19	1	1.494	0.016	0.15	0.008					0	0.83	0.008
-113	2020-02-27	214	4	25	2	1.691	0.032	0.198	0.016					1	0.948	0.024
-112	2020-02-28	228	4	14	0	1.802	0.032	0.111	0.0					2	0.972	0.024
-111	2020-02-29	241	5	13	1	1.905	0.04	0.103	0.008					3	0.94	0.032
-110	2020-03-01	256	6	15	1	2.023	0.047	0.119	0.008					4	0.861	0.04
-109	2020-03-02	274	6	18	0	2.166	0.047	0.142	0.0					5	0.909	0.04
-108	2020-03-03	293	6	19	0	2.316	0.047	0.15	0.0					6	0.972	0.04
-107	2020-03-04	331	6	38	0	2.616	0.047	0.3	0.0					7	1.122	0.032
-106	2020-03-05	360	6	29	0	2.845	0.047	0.229	0.0					8	1.154	0.016
-105	2020-03-06	420	6	60	0	3.319	0.047	0.474	0.0					9	1.517	0.016
-104	2020-03-07	461	6	41	0	3.643	0.047	0.324	0.0					10	1.739	0.008
-103	2020-03-08	502	6	41	0	3.967	0.047	0.324	0.0					11	1.944	0.0
-102	2020-03-09	511	10	9	4	4.039	0.079	0.071	0.032					12	1.873	0.032
-101	2020-03-10	581	10	70	0	4.592	0.079	0.553	0.0					13	2.276	0.032
-100	2020-03-11	639	15	58	5	5.05	0.119	0.458	0.04					14	2.434	0.071
-99	2020-03-12	639	16	0	1	5.05	0.126	0.0	0.008					15	2.205	0.079
-98	2020-03-13	701	19	62	3	5.54	0.15	0.49	0.024					16	2.221	0.103
-97	2020-03-14	773	22	72	3	6.109	0.174	0.569	0.024					17	2.466	0.126
-96	2020-03-15	839	22	66	0	6.631	0.174	0.522	0.0					18	2.663	0.126
-95	2020-03-16	839	27	0	5	6.631	0.213	0.0	0.04					19	2.592	0.134
-94	2020-03-17	878	29	39	2	6.939	0.229	0.308	0.016					20	2.347	0.15
