Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-98	2020-01-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-97	2020-01-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-96	2020-01-24	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-95	2020-01-25	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-94	2020-01-26	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-93	2020-01-27	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-92	2020-01-28	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-91	2020-01-29	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-90	2020-01-30	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-89	2020-01-31	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-88	2020-02-01	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-87	2020-02-02	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-86	2020-02-03	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-85	2020-02-04	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-84	2020-02-05	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-83	2020-02-06	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-82	2020-02-07	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-81	2020-02-08	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-80	2020-02-09	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-79	2020-02-10	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-78	2020-02-11	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-77	2020-02-12	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-76	2020-02-13	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-75	2020-02-14	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-74	2020-02-15	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-73	2020-02-16	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-72	2020-02-17	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-71	2020-02-18	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-70	2020-02-19	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-69	2020-02-20	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-68	2020-02-21	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-67	2020-02-22	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-66	2020-02-23	0	0	0	0	0.0	0.0	0.0	0.0						0.0	0.0
-65	2020-02-24	1	0	1	0	0.637	0.0	0.637	0.0						0.637	0.0
-64	2020-02-25	23	0	22	0	14.655	0.0	14.018	0.0						14.655	0.0
-63	2020-02-26	33	0	10	0	21.027	0.0	6.372	0.0						21.027	0.0
-62	2020-02-27	33	0	0	0	21.027	0.0	0.0	0.0						21.027	0.0
-61	2020-02-28	36	0	3	0	22.938	0.0	1.912	0.0						22.938	0.0
-60	2020-02-29	41	0	5	0	26.124	0.0	3.186	0.0						26.124	0.0
-59	2020-03-01	47	0	6	0	29.947	0.0	3.823	0.0						29.947	0.0
-58	2020-03-02	49	0	2	0	31.221	0.0	1.274	0.0						30.584	0.0
-57	2020-03-03	49	0	0	0	31.221	0.0	0.0	0.0						16.566	0.0
-56	2020-03-04	52	0	3	0	33.133	0.0	1.912	0.0						12.106	0.0
-55	2020-03-05	55	0	3	0	35.044	0.0	1.912	0.0						14.018	0.0
-54	2020-03-06	60	0	5	0	38.23	0.0	3.186	0.0						15.292	0.0
-53	2020-03-07	85	0	25	0	54.159	0.0	15.929	0.0						28.035	0.0
-52	2020-03-08	85	0	0	0	54.159	0.0	0.0	0.0						24.212	0.0
-51	2020-03-09	95	0	10	0	60.531	0.0	6.372	0.0						29.31	0.0
-50	2020-03-10	110	0	15	0	70.089	0.0	9.558	0.0						38.867	0.0
-49	2020-03-11	195	0	85	0	124.248	0.0	54.159	0.0			1.773			91.115	0.0
-48	2020-03-12	195	0	0	0	124.248	0.0	0.0	0.0			1.0			89.204	0.0
-47	2020-03-13	195	0	0	0	124.248	0.0	0.0	0.0			1.0			86.018	0.0
-46	2020-03-14	210	0	15	0	133.806	0.0	9.558	0.0			1.077			79.646	0.0
-45	2020-03-15	214	0	4	0	136.354	0.0	2.549	0.0			1.019			82.195	0.0
-44	2020-03-16	214	1	0	1	136.354	0.637	0.0	0.637			1.0			75.823	0.637
-43	2020-03-17	228	1	14	0	145.275	0.637	8.92	0.0			1.065			75.186	0.637
-42	2020-03-18	256	1	28	0	163.116	0.637	17.841	0.0			1.123			38.867	0.637
-41	2020-03-19	278	1	22	0	177.133	0.637	14.018	0.0			1.086			52.885	0.637
-40	2020-03-20	285	1	7	0	181.594	0.637	4.46	0.0			1.025			57.345	0.637
-39	2020-03-21	305	1	20	0	194.337	0.637	12.743	0.0			1.07			60.531	0.637
-38	2020-03-22	334	2	29	1	212.815	1.274	18.478	0.637			1.095		0	76.46	1.274
-37	2020-03-23	377	2	43	0	240.213	1.274	27.398	0.0			1.129		1	103.859	0.637
-36	2020-03-24	392	3	15	1	249.771	1.912	9.558	0.637			1.04		2	104.496	1.274
-35	2020-03-25	419	4	27	1	266.974	2.549	17.204	0.637			1.069		3	103.859	1.912
-34	2020-03-26	458	4	39	0	291.824	2.549	24.85	0.0			1.093		4	114.691	1.912
