Days_Past	Date	Cases	Deaths	Cases_New	Deaths_New	Cases_Per_Million	Deaths_Per_Million	Cases_New_Per_Million	Deaths_New_Per_Million	Cases_Doubling_Time	Deaths_Doubling_Time	Cases_Change_Factor	Deaths_Change_Factor	Days_Since_2nd_Death	Cases_Last_Week_Per_Million	Deaths_Last_Week_Per_Million
-180	2020-01-22	0	0	0	0	0	0	0	0.0						0	0.0
-179	2020-01-23	0	0	0	0	0	0	0	0.0						0	0.0
-178	2020-01-24	0	0	0	0	0	0	0	0.0						0	0.0
-177	2020-01-25	0	0	0	0	0	0	0	0.0						0	0.0
-176	2020-01-26	0	0	0	0	0	0	0	0.0						0	0.0
-175	2020-01-27	0	0	0	0	0	0	0	0.0						0	0.0
-174	2020-01-28	0	0	0	0	0	0	0	0.0						0	0.0
-173	2020-01-29	0	0	0	0	0	0	0	0.0						0	0.0
-172	2020-01-30	0	0	0	0	0	0	0	0.0						0	0.0
-171	2020-01-31	0	0	0	0	0	0	0	0.0						0	0.0
-170	2020-02-01	0	0	0	0	0	0	0	0.0						0	0.0
-169	2020-02-02	0	0	0	0	0	0	0	0.0						0	0.0
-168	2020-02-03	0	0	0	0	0	0	0	0.0						0	0.0
-167	2020-02-04	0	0	0	0	0	0	0	0.0						0	0.0
-166	2020-02-05	0	0	0	0	0	0	0	0.0						0	0.0
-165	2020-02-06	0	0	0	0	0	0	0	0.0						0	0.0
-164	2020-02-07	0	0	0	0	0	0	0	0.0						0	0.0
-163	2020-02-08	0	0	0	0	0	0	0	0.0						0	0.0
-162	2020-02-09	0	0	0	0	0	0	0	0.0						0	0.0
-161	2020-02-10	0	0	0	0	0	0	0	0.0						0	0.0
-160	2020-02-11	0	0	0	0	0	0	0	0.0						0	0.0
-159	2020-02-12	0	0	0	0	0	0	0	0.0						0	0.0
-158	2020-02-13	0	0	0	0	0	0	0	0.0						0	0.0
-157	2020-02-14	0	0	0	0	0	0	0	0.0						0	0.0
-156	2020-02-15	0	0	0	0	0	0	0	0.0						0	0.0
-155	2020-02-16	0	0	0	0	0	0	0	0.0						0	0.0
-154	2020-02-17	0	0	0	0	0	0	0	0.0						0	0.0
-153	2020-02-18	0	0	0	0	0	0	0	0.0						0	0.0
-152	2020-02-19	0	0	0	0	0	0	0	0.0						0	0.0
-151	2020-02-20	0	0	0	0	0	0	0	0.0						0	0.0
-150	2020-02-21	0	0	0	0	0	0	0	0.0						0	0.0
-149	2020-02-22	0	0	0	0	0	0	0	0.0						0	0.0
-148	2020-02-23	0	0	0	0	0	0	0	0.0						0	0.0
-147	2020-02-24	0	0	0	0	0	0	0	0.0						0	0.0
-146	2020-02-25	0	0	0	0	0	0	0	0.0						0	0.0
-145	2020-02-26	0	0	0	0	0	0	0	0.0						0	0.0
-144	2020-02-27	0	0	0	0	0	0	0	0.0						0	0.0
-143	2020-02-28	0	0	0	0	0	0	0	0.0						0	0.0
-142	2020-02-29	0	0	0	0	0	0	0	0.0						0	0.0
-141	2020-03-01	0	0	0	0	0	0	0	0.0						0	0.0
-140	2020-03-02	0	0	0	0	0	0	0	0.0						0	0.0
-139	2020-03-03	0	0	0	0	0	0	0	0.0						0	0.0
-138	2020-03-04	0	0	0	0	0	0	0	0.0						0	0.0
-137	2020-03-05	0	0	0	0	0	0	0	0.0						0	0.0
-136	2020-03-06	0	0	0	0	0	0	0	0.0						0	0.0
-135	2020-03-07	0	0	0	0	0	0	0	0.0						0	0.0
-134	2020-03-08	0	0	0	0	0	0	0	0.0						0	0.0
-133	2020-03-09	0	0	0	0	0	0	0	0.0						0	0.0
-132	2020-03-10	0	0	0	0	0	0	0	0.0						0	0.0
-131	2020-03-11	0	0	0	0	0	0	0	0.0						0	0.0
-130	2020-03-12	0	0	0	0	0	0	0	0.0						0	0.0
-129	2020-03-13	0	0	0	0	0	0	0	0.0						0	0.0
-128	2020-03-14	0	0	0	0	0	0	0	0.0						0	0.0
-127	2020-03-15	0	0	0	0	0	0	0	0.0						0	0.0
-126	2020-03-16	0	0	0	0	0	0	0	0.0						0	0.0
-125	2020-03-17	0	0	0	0	0	0	0	0.0						0	0.0
-124	2020-03-18	0	0	0	0	0	0	0	0.0						0	0.0
-123	2020-03-19	0	0	0	0	0	0	0	0.0						0	0.0
-122	2020-03-20	0	0	0	0	0	0	0	0.0						0	0.0
-121	2020-03-21	0	0	0	0	0	0	0	0.0						0	0.0
-120	2020-03-22	0	0	0	0	0	0	0	0.0						0	0.0
-119	2020-03-23	0	0	0	0	0	0	0	0.0						0	0.0
-118	2020-03-24	0	0	0	0	0	0	0	0.0						0	0.0
-117	2020-03-25	0	0	0	0	0	0	0	0.0						0	0.0
-116	2020-03-26	0	0	0	0	0	0	0	0.0						0	0.0
-115	2020-03-27	0	0	0	0	0	0	0	0.0						0	0.0
-114	2020-03-28	0	0	0	0	0	0	0	0.0						0	0.0
-113	2020-03-29	0	0	0	0	0	0	0	0.0						0	0.0
-112	2020-03-30	0	0	0	0	0	0	0	0.0						0	0.0
-111	2020-03-31	0	0	0	0	0	0	0	0.0						0	0.0
-110	2020-04-01	0	0	0	0	0	0	0	0.0						0	0.0
-109	2020-04-02	0	0	0	0	0	0	0	0.0						0	0.0
-108	2020-04-03	0	0	0	0	0	0	0	0.0						0	0.0
-107	2020-04-04	0	0	0	0	0	0	0	0.0						0	0.0
-106	2020-04-05	0	0	0	0	0	0	0	0.0						0	0.0
-105	2020-04-06	0	0	0	0	0	0	0	0.0						0	0.0
-104	2020-04-07	0	0	0	0	0	0	0	0.0						0	0.0
-103	2020-04-08	0	0	0	0	0	0	0	0.0						0	0.0
-102	2020-04-09	0	0	0	0	0	0	0	0.0						0	0.0
-101	2020-04-10	1	0	1	0	0	0	0	0.0						0	0.0
-100	2020-04-11	1	0	0	0	0	0	0	0.0						0	0.0
-99	2020-04-12	1	0	0	0	0	0	0	0.0						0	0.0
-98	2020-04-13	1	0	0	0	0	0	0	0.0						0	0.0
-97	2020-04-14	1	0	0	0	0	0	0	0.0						0	0.0
-96	2020-04-15	1	0	0	0	0	0	0	0.0						0	0.0
-95	2020-04-16	1	0	0	0	0	0	0	0.0						0	0.0
-94	2020-04-17	1	0	0	0	0	0	0	0.0						0	0.0
-93	2020-04-18	1	0	0	0	0	0	0	0.0						0	0.0
-92	2020-04-19	1	0	0	0	0	0	0	0.0						0	0.0
-91	2020-04-20	1	0	0	0	0	0	0	0.0						0	0.0
-90	2020-04-21	1	0	0	0	0	0	0	0.0						0	0.0
-89	2020-04-22	1	0	0	0	0	0	0	0.0						0	0.0
-88	2020-04-23	1	0	0	0	0	0	0	0.0						0	0.0
-87	2020-04-24	1	0	0	0	0	0	0	0.0						0	0.0
-86	2020-04-25	1	0	0	0	0	0	0	0.0						0	0.0
-85	2020-04-26	1	0	0	0	0	0	0	0.0						0	0.0
-84	2020-04-27	1	0	0	0	0	0	0	0.0						0	0.0
-83	2020-04-28	1	0	0	0	0	0	0	0.0						0	0.0
-82	2020-04-29	6	0	5	0	0	0	0	0.0						0	0.0
-81	2020-04-30	6	2	0	2	0	0	0	0.07					0	0	0.07
-80	2020-05-01	7	2	1	0	0	0	0	0.0					1	0	0.07
-79	2020-05-02	10	2	3	0	0	0	0	0.0					2	0	0.07
-78	2020-05-03	10	2	0	0	0	0	0	0.0					3	0	0.07
-77	2020-05-04	12	2	2	0	0	0	0	0.0					4	0	0.07
-76	2020-05-05	22	4	10	2	0	0	0	0.07					5	0	0.14
-75	2020-05-06	25	5	3	1	0	0	0	0.035					6	0	0.18
-74	2020-05-07	25	5	0	0	0	0	0	0.0					7	0	0.11
-73	2020-05-08	34	7	9	2	1	0	0	0.07					8	0	0.18
-72	2020-05-09	34	7	0	0	1	0	0	0.0					9	0	0.18
-71	2020-05-10	51	8	17	1	1	0	0	0.035					10	1	0.21
-70	2020-05-11	56	9	5	1	1	0	0	0.035					11	1	0.25
-69	2020-05-12	65	10	9	1	2	0	0	0.035					12	1	0.21
-68	2020-05-13	70	12	5	2	2	0	0	0.07					13	1	0.25
-67	2020-05-14	85	12	15	0	2	0	0	0.0					14	2	0.25
-66	2020-05-15	106	15	21	3	3	0	0	0.105					15	2	0.28
-65	2020-05-16	122	18	16	3	4	0	0	0.105					16	3	0.39
-64	2020-05-17	128	20	6	2	4	0	0	0.07					17	2	0.42
-63	2020-05-18	130	20	2	0	4	0	0	0.0					18	2	0.39
-62	2020-05-19	167	28	37	8	5	0	1	0.281					19	3	0.63
-61	2020-05-20	184	30	17	2	6	1	0	0.07					20	4	0.63
-60	2020-05-21	197	33	13	3	6	1	0	0.105					21	3	0.74
-59	2020-05-22	209	33	12	0	7	1	0	0.0					22	3	0.63
-58	2020-05-23	212	39	3	6	7	1	0	0.211					23	3	0.74
-57	2020-05-24	222	42	10	3	7	1	0	0.105					24	3	0.77
-56	2020-05-25	233	44	11	2	8	1	0	0.07					25	3	0.84
