#	Date	Confirmed	Deaths	Deaths	Confirmed per Million	Deaths per Million	Recovered per Million	Confirmed Change	Deaths Change	Recovered Change	Confirmed Change Factor	Deaths Change Factor	Recovered Change Factor
-29	23.02.2020	43	8	0	0.517	0.096	0.000						
-28	24.02.2020	61	12	0	0.733	0.144	0.000	18	4	0		1.500	
-27	25.02.2020	95	16	0	1.142	0.192	0.000	34	4	0		1.333	
-26	26.02.2020	139	19	49	1.671	0.228	0.589	44	3	49		1.188	
-25	27.02.2020	245	26	49	2.945	0.313	0.589	106	7	0		1.368	1.000
-24	28.02.2020	388	34	73	4.664	0.409	0.878	143	8	24		1.308	1.490
-23	29.02.2020	593	43	123	7.129	0.517	1.479	205	9	50		1.265	1.685
-22	01.03.2020	978	54	175	11.757	0.649	2.104	385	11	52		1.256	1.423
-21	02.03.2020	1501	66	291	18.044	0.793	3.498	523	12	116		1.222	1.663
-20	03.03.2020	2336	77	291	28.082	0.926	3.498	835	11	0		1.167	1.000
-19	04.03.2020	2922	92	552	35.127	1.106	6.636	586	15	261		1.195	1.897
-18	05.03.2020	3513	107	739	42.232	1.286	8.884	591	15	187		1.163	1.339
-17	06.03.2020	4747	124	913	57.066	1.491	10.976	1234	17	174		1.159	1.235
-16	07.03.2020	5823	145	1669	70.002	1.743	20.064	1076	21	756		1.169	1.828
-15	08.03.2020	6566	194	2134	78.934	2.332	25.654	743	49	465		1.338	1.279
-14	09.03.2020	7161	237	2394	86.087	2.849	28.780	595	43	260		1.222	1.122
-13	10.03.2020	8042	291	2731	96.678	3.498	32.831	881	54	337		1.228	1.141
-12	11.03.2020	9000	354	2959	108.194	4.256	35.572	958	63	228		1.216	1.083
-11	12.03.2020	10075	429	2959	121.117	5.157	35.572	1075	75	0		1.212	1.000
-10	13.03.2020	11364	514	2959	136.613	6.179	35.572	1289	85	0		1.198	1.000
-9	14.03.2020	12729	611	2959	153.023	7.345	35.572	1365	97	0		1.189	1.000
-8	15.03.2020	13938	724	4590	167.557	8.704	55.179	1209	113	1631		1.185	1.551
-7	16.03.2020	14991	853	4590	180.216	10.254	55.179	1053	129	0		1.178	1.000
-6	17.03.2020	16169	988	5389	194.377	11.877	64.784	1178	135	799		1.158	1.174
-5	18.03.2020	17361	1135	5389	208.707	13.644	64.784	1192	147	0		1.149	1.000
-4	19.03.2020	18407	1284	5710	221.281	15.436	68.643	1046	149	321		1.131	1.060
-3	20.03.2020	19644	1433	6745	236.152	17.227	81.086	1237	149	1035		1.116	1.181
-2	21.03.2020	20610	1556	7635	247.765	18.706	91.785	966	123	890		1.086	1.132
-1	22.03.2020	21638	1685	7931	260.123	20.256	95.343	1028	129	296		1.083	1.039
0	23.03.2020	21638	1685	7931	260.123	20.256	95.343	0	0	0		1.000	1.000
