#	date	infections	deaths	new infections	new deaths
-24	2020-02-28	0	0	0	0
-23	2020-02-29	3	0	3	0
-22	2020-03-01	8	0	5	0
-21	2020-03-02	10	0	2	0
-20	2020-03-03	12	0	2	0
-19	2020-03-04	12	0	0	0
-18	2020-03-05	14	0	2	0
-17	2020-03-06	16	0	2	0
-16	2020-03-07	17	0	1	0
-15	2020-03-08	19	0	2	0
-14	2020-03-09	26	0	7	0
-13	2020-03-10	35	0	9	0
-12	2020-03-11	48	0	13	0
-11	2020-03-12	99	0	51	0
-10	2020-03-13	148	0	49	0
-9	2020-03-14	203	0	55	0
-8	2020-03-15	286	0	83	0
-7	2020-03-16	342	0	56	0
-6	2020-03-17	373	0	31	0
-5	2020-03-18	432	0	59	0
-4	2020-03-19	682	0	250	0
-3	2020-03-20	813	1	131	1
-2	2020-03-21	1080	2	267	1
-1	2020-03-22	1175	2	95	0
0	2020-03-23	1347	3	172	1
