# Day	Date	Confirmed	Deaths	Confirmed per Million	Deaths per Million	Confirmed Change	Deaths Change	Deaths Change Factor	Days since 2 Deaths
-66	2020-01-22	1	0	0.003	0.000				
-65	2020-01-23	1	0	0.003	0.000				
-64	2020-01-24	2	0	0.006	0.000				
-63	2020-01-25	2	0	0.006	0.000				
-62	2020-01-26	5	0	0.015	0.000				
-61	2020-01-27	5	0	0.015	0.000				
-60	2020-01-28	5	0	0.015	0.000				
-59	2020-01-29	5	0	0.015	0.000				
-58	2020-01-30	5	0	0.015	0.000				
-57	2020-01-31	7	0	0.021	0.000				
-56	2020-02-01	8	0	0.024	0.000				
-55	2020-02-02	8	0	0.024	0.000				
-54	2020-02-03	11	0	0.034	0.000				
-53	2020-02-04	11	0	0.034	0.000				
-52	2020-02-05	11	0	0.034	0.000				
-51	2020-02-06	11	0	0.034	0.000				
-50	2020-02-07	11	0	0.034	0.000				
-49	2020-02-08	11	0	0.034	0.000				
-48	2020-02-09	11	0	0.034	0.000				
-47	2020-02-10	11	0	0.034	0.000				
-46	2020-02-11	12	0	0.037	0.000				
-45	2020-02-12	12	0	0.037	0.000				
-44	2020-02-13	13	0	0.040	0.000				
-43	2020-02-14	13	0	0.040	0.000				
-42	2020-02-15	13	0	0.040	0.000				
-41	2020-02-16	13	0	0.040	0.000				
-40	2020-02-17	13	0	0.040	0.000				
-39	2020-02-18	13	0	0.040	0.000				
-38	2020-02-19	13	0	0.040	0.000				
-37	2020-02-20	13	0	0.040	0.000				
-36	2020-02-21	15	0	0.046	0.000				
-35	2020-02-22	15	0	0.046	0.000				
-34	2020-02-23	15	0	0.046	0.000				
-33	2020-02-24	51	0	0.155	0.000				
-32	2020-02-25	51	0	0.155	0.000				
-31	2020-02-26	57	0	0.174	0.000				
-30	2020-02-27	58	0	0.177	0.000				
-29	2020-02-28	60	0	0.183	0.000				
-28	2020-02-29	68	1	0.207	0.003				
-27	2020-03-01	74	1	0.225	0.003	6	0	1.000	
-26	2020-03-02	98	6	0.299	0.018	24	5	6.000	0
-25	2020-03-03	118	7	0.359	0.021	20	1	1.167	1
-24	2020-03-04	149	11	0.454	0.034	31	4	1.571	2
-23	2020-03-05	217	12	0.661	0.037	68	1	1.091	3
-22	2020-03-06	262	14	0.798	0.043	45	2	1.167	4
-21	2020-03-07	402	17	1.225	0.052	140	3	1.214	5
-20	2020-03-08	518	21	1.578	0.064	116	4	1.235	6
-19	2020-03-09	583	22	1.776	0.067	65	1	1.048	7
-18	2020-03-10	959	28	2.922	0.085	376	6	1.273	8
-17	2020-03-11	1281	36	3.903	0.110	322	8	1.286	9
-16	2020-03-12	1663	40	5.066	0.122	382	4	1.111	10
-15	2020-03-13	2179	47	6.638	0.143	516	7	1.175	11
-14	2020-03-14	2727	54	8.308	0.165	548	7	1.149	12
-13	2020-03-15	3499	63	10.660	0.192	772	9	1.167	13
-12	2020-03-16	4632	85	14.112	0.259	1133	22	1.349	14
-11	2020-03-17	6421	108	19.562	0.329	1789	23	1.271	15
-10	2020-03-18	7783	118	23.711	0.359	1362	10	1.093	16
-9	2020-03-19	13677	200	41.668	0.609	5894	82	1.695	17
-8	2020-03-20	19100	244	58.189	0.743	5423	44	1.220	18
-7	2020-03-21	25489	307	77.654	0.935	6389	63	1.258	19
-6	2020-03-22	33276	417	101.377	1.270	7787	110	1.358	20
-5	2020-03-23	43847	557	133.582	1.697	10571	140	1.336	21
-4	2020-03-24	53740	706	163.722	2.151	9893	149	1.268	22
-3	2020-03-25	65778	942	200.396	2.870	12038	236	1.334	23
-2	2020-03-26	83836	1209	255.411	3.683	18058	267	1.283	24
-1	2020-03-27	101657	1581	309.704	4.817	17821	372	1.308	25
0	2020-03-28	121478	2026	370.089	6.172	19821	445	1.281	26
